Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
Capesize 5TC FFA 180kt Timecharter Average M Apr 26,C5TCM J26 INDEX,C5TCM J26,260.0,25929.0,6741540.0,15.63%
Capesize 5TC FFA 180kt Timecharter Average M May 26,C5TCM K26 INDEX,C5TCM K26,260.0,28289.0,7355140.0,17.05%
Capesize 5TC FFA 180kt Timecharter Average M Jun 26,C5TCM M26 INDEX,C5TCM M26,260.0,28039.0,7290140.0,16.90%
Panamax 5TC FFA 82kt Timecharter Average M Apr 26,P5TCM J26 INDEX,P5TCM J26,335.0,17139.0,5741565.0,13.31%
Panamax 5TC FFA 82kt Timecharter Average M May 26,P5TCM K26 INDEX,P5TCM K26,335.0,18357.0,6149595.0,14.26%
Panamax 5TC FFA 82kt Timecharter Average M Jun 26,P5TCM M26 INDEX,P5TCM M26,335.0,18350.0,6147250.0,14.25%
Supramax 58 TC FFA 58kt Timecharter Average M Apr 26,S58FM J26 INDEX,S58FM J26,100.0,14357.0,1435700.0,3.33%
Supramax 58 TC FFA 58kt Timecharter Average M May 26,S58FM K26 INDEX,S58FM K26,100.0,15168.0,1516800.0,3.52%
Supramax 58 TC FFA 58kt Timecharter Average M Jun 26,S58FM M26 INDEX,S58FM M26,100.0,15389.0,1538900.0,3.57%
Cash & Other,Cash&Other,Cash&Other,31915934.14,1.0,31915934.14,74.00%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,11216137.9,100.0,11216137.9,26.01%
