Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
TD3C FFA 270kt Middle East Gulf to China USD/MT M Mar 26,DD3CM H26 INDEX,DD3CM H26,105.0,45.855,4814775.0,21.10%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Apr 26,DD3CM J26 INDEX,DD3CM J26,125.0,41.43,5178750.0,22.69%
TD3C FFA 270kt Middle East Gulf to China USD/MT M May 26,DD3CM K26 INDEX,DD3CM K26,125.0,32.344,4043000.0,17.72%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Jun 26,DD3CM M26 INDEX,DD3CM M26,125.0,28.75,3593750.0,15.75%
TD20 FFA 130kt West Africa to Continent USD/MT M Mar 26,DD20M H26 INDEX,DD20M H26,10.0,40.401,404010.0,1.77%
TD20 FFA 130kt West Africa to Continent USD/MT M Apr 26,DD20M J26 INDEX,DD20M J26,20.0,36.501,730020.0,3.20%
TD20 FFA 130kt West Africa to Continent USD/MT M May 26,DD20M K26 INDEX,DD20M K26,20.0,34.807,696140.0,3.05%
TD20 FFA 130kt West Africa to Continent USD/MT M Jun 26,DD20M M26 INDEX,DD20M M26,20.0,31.912,638240.0,2.80%
Cash & Other,Cash&Other,Cash&Other,13948508.52,1.0,13948508.52,61.13%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,8862012.89,100.0,8862012.89,38.84%
