date,composite_iaci,shanghai_nehru_port,shanghai_tanjung_pelepas,shanghai_singapore,shanghai_yokohama,jakarta_shanghai,busan_shanghai,ho_chi_minh_shanghai,yokohama_shanghai
2026-04-03,,1587.0,1260.0,846.0,760.0,51.0,53.0,44.0,102.0
2026-04-10,,1342.0,1268.0,733.0,790.0,51.0,53.0,44.0,102.0
2026-04-17,,1275.0,1356.0,771.0,790.0,57.0,53.0,60.0,95.0
2026-04-24,,1188.0,1406.0,821.0,744.0,61.0,56.0,70.0,95.0
2026-05-01,,1192.0,1456.0,975.0,744.0,61.0,78.0,80.0,95.0
2026-05-08,,1348.0,1456.0,850.0,709.0,63.0,70.0,70.0,95.0
2026-05-15,,1175.0,1591.0,872.0,769.0,68.0,68.0,70.0,90.0
2026-05-22,,1450.0,1591.0,947.0,769.0,77.0,65.0,70.0,90.0
2026-05-29,,1753.0,1604.0,922.0,829.0,83.0,61.0,70.0,90.0
2026-06-04,,2367.0,1641.0,1209.0,839.0,77.0,60.0,65.0,89.0
2026-06-11,,2368.0,1617.0,1094.0,839.0,77.0,60.0,65.0,89.0
2026-06-18,,2483.0,1641.0,1091.0,914.0,80.0,59.0,65.0,78.0
2026-06-25,,2288.0,1618.0,1136.0,924.0,80.0,59.0,65.0,78.0
2026-07-02,,2155.0,1618.0,1109.0,924.0,80.0,59.0,65.0,78.0
2026-07-09,,1883.0,1568.0,1141.0,924.0,77.0,62.0,69.0,78.0
2026-07-16,,1742.0,1544.0,1088.0,924.0,74.0,65.0,65.0,84.0
2026-07-23,,1667.0,1544.0,1056.0,924.0,74.0,68.0,65.0,84.0
2026-07-30,,1633.0,1506.0,1031.0,924.0,74.0,70.0,65.0,84.0
2026-08-06,,1767.0,1494.0,1019.0,924.0,74.0,70.0,65.0,84.0
2026-08-13,,2353.0,1419.0,1096.0,974.0,74.0,93.0,74.0,85.0
2026-08-20,,2970.0,1432.0,1256.0,1019.0,74.0,98.0,64.0,94.0
2026-08-27,,3568.0,1438.0,1541.0,1044.0,74.0,108.0,60.0,103.0
2026-09-03,,3670.0,1705.0,1911.0,1039.0,74.0,114.0,50.0,103.0
2026-09-10,,3840.0,1806.0,1779.0,1039.0,74.0,119.0,45.0,103.0
