date,total_grain_mt,corn_mt,wheat_mt,soybeans_mt,soymeal_pellets_mt,barley_mt,sorghum_mt,sunflower_mt,up_river_parana_mt,ocean_deepwater_mt,up_river_share_pct,source_url,publisher,method
2023-01-01,3.182,0.138,0.388,0.0,0.0,0.427,0.069,0.0,2.624,0.558,82.47,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/1_enero_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-02-01,2.991,0.042,0.155,0.038,0.883,0.0,0.063,0.0,2.68,0.311,89.6,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/2_febrero_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-03-01,3.885,0.011,0.347,0.0,0.0,0.376,0.0,0.0,3.672,0.213,94.53,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/3_marzo_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-04-01,3.865,1.561,0.224,0.105,0.0,0.162,0.041,0.0,3.585,0.28,92.75,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/4_abril_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-05-01,4.834,1.71,0.167,0.559,0.03,0.127,0.078,0.0,4.532,0.275,93.76,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/5_mayo_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-06-01,4.467,2.159,0.15,0.083,0.0,0.273,0.04,0.0,4.16,0.308,93.11,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-07-01,14.954,2.835,0.153,0.145,10.634,0.325,0.041,0.0,13.309,1.645,89.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-08-01,6.395,3.965,0.111,0.082,1.814,0.145,0.161,0.0,5.262,1.133,82.28,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/8_agosto_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-09-01,5.215,2.93,0.125,0.213,1.353,0.282,0.128,0.0,3.833,1.382,73.51,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/9_septiembre_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-10-01,3.643,1.757,0.057,0.608,0.989,0.05,0.083,0.0,2.739,0.904,75.19,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/10_octubre_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-11-01,3.063,1.321,0.162,0.095,1.35,0.031,0.0,0.0,2.567,0.496,83.79,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/11_noviembre_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2023-12-01,3.621,1.333,0.748,0.034,1.373,0.037,0.0,0.0,3.085,0.536,85.2,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2024-01-01,5.997,2.0,1.224,0.043,1.652,0.942,0.044,0.0,4.326,1.672,72.13,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2024-02-01,4.978,1.818,1.143,0.0,1.353,0.573,0.0,0.0,3.582,1.396,71.97,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2024-03-01,7.136,3.71,0.998,0.019,2.047,0.263,0.0,0.0,5.921,1.215,82.98,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
2024-04-01,8.233,4.602,0.518,0.186,2.548,0.152,0.037,0.0,7.811,0.423,94.87,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/4_abril_2023-2024.php,"Secretaría de Agricultura, Ganadería y Pesca (MAGyP)",Official Government Port Loading Database (MAGyP Base de Datos de Transporte y Embarque)
