date,max_draft_feet,neo_panamax_slots,panamax_slots,gatun_level_feet,status
2022-01-15,50.0,10,26,88.5,Normal Operations
2022-06-01,50.0,10,26,87.2,Normal Operations
2023-01-15,50.0,10,26,86.8,Dry Season Advisory
2023-04-19,47.5,10,26,85.0,First Draft Restriction (Adv 08-2023)
2023-05-30,44.5,10,24,83.1,Drought Restriction (Adv 14-2023)
2023-07-25,44.0,10,22,80.2,Severe Drought (Adv 19-2023)
2023-11-01,44.0,8,18,79.5,Transit Slot Reductions (Adv 24-2023)
2023-12-15,44.0,6,16,78.8,Peak Drought Slot Auction Surcharges
2024-03-25,44.0,7,20,80.5,Initial Slot Easing (Adv 09-2024)
2024-05-15,45.0,8,24,81.8,Rainy Season Recovery (Adv 15-2024)
2024-08-05,49.0,10,26,86.4,Draft Lifted to 49ft (Adv 21-2024)
2024-10-01,50.0,10,26,88.0,Normal Maximum 50ft Restored
2025-04-15,50.0,10,26,87.5,Normal Operations
2025-10-15,50.0,10,26,88.2,Normal Operations
2026-03-01,50.0,10,26,87.1,Seasonal Maintenance
2026-08-20,50.0,10,26,88.6,Normal Maximum 50ft TFW
