date,tenor,delivery_month,delivery_year,fef_ticker,fef_settle,fef_oi,fef_volume,m65f_ticker,m65f_settle,m65f_oi,m65f_volume,fe65_fe62_premium_spread,lpf_ticker,lpf_settle,lpf_oi,lpf_volume,fef_term_structure_slope,fef_slope_pct,fef_curve_regime
2026-09-21,Sep-2026,Sep,2026,FEFU26,97.2,347684,7561,M65FU26,112.12,16212,50,14.92,LPFU26,0.2375,11766,0,0.0,0.0,Prompt
2026-09-21,Oct-2026,Oct,2026,FEFV26,97.0,373253,79714,M65FV26,111.85,11090,1150,14.85,LPFV26,0.2075,19789,2030,-0.2,-0.21,Flat
2026-09-21,Nov-2026,Nov,2026,FEFX26,97.25,276481,45260,M65FX26,111.82,4273,100,14.57,LPFX26,0.1875,5530,500,0.05,0.05,Flat
2026-09-21,Dec-2026,Dec,2026,FEFZ26,97.3,168050,18572,M65FZ26,111.95,800,0,14.65,LPFZ26,0.1725,0,0,0.1,0.1,Flat
2026-09-21,Jan-2027,Jan,2027,FEFF27,97.38,85933,5060,M65FF27,112.05,500,0,14.67,LPFF27,0.1675,0,0,0.18,0.19,Flat
2026-09-21,Feb-2027,Feb,2027,FEFG27,97.27,33970,1333,M65FG27,112.01,500,0,14.74,LPFG27,0.1675,0,0,0.07,0.07,Flat
2026-09-21,Mar-2027,Mar,2027,FEFH27,97.15,26566,307,M65FH27,111.89,500,0,14.74,LPFH27,0.1675,0,0,-0.05,-0.05,Flat
2026-09-21,Apr-2027,Apr,2027,FEFJ27,97.03,13501,0,M65FJ27,111.77,0,0,14.74,LPFJ27,0.1625,0,0,-0.17,-0.17,Flat
2026-09-21,May-2027,May,2027,FEFK27,96.89,14192,0,M65FK27,111.63,0,0,14.74,LPFK27,0.1625,0,0,-0.31,-0.32,Backwardation
2026-09-21,Jun-2027,Jun,2027,FEFM27,96.75,12518,0,M65FM27,111.49,0,0,14.74,LPFM27,0.1625,0,0,-0.45,-0.46,Backwardation
2026-09-21,Jul-2027,Jul,2027,FEFN27,96.6,12721,0,M65FN27,111.3,0,0,14.7,LPFN27,0.1575,0,0,-0.6,-0.62,Backwardation
2026-09-21,Aug-2027,Aug,2027,FEFQ27,96.44,12721,0,M65FQ27,111.14,0,0,14.7,LPFQ27,0.1575,0,0,-0.76,-0.78,Backwardation
2026-09-21,Sep-2027,Sep,2027,FEFU27,96.29,12998,0,M65FU27,110.99,0,0,14.7,LPFU27,0.1575,0,0,-0.91,-0.94,Backwardation
2026-09-21,Oct-2027,Oct,2027,FEFV27,96.15,8112,0,M65FV27,110.82,0,0,14.67,LPFV27,0.1525,0,0,-1.05,-1.08,Backwardation
2026-09-21,Nov-2027,Nov,2027,FEFX27,95.99,7755,0,M65FX27,110.66,0,0,14.67,LPFX27,0.1525,0,0,-1.21,-1.24,Backwardation
2026-09-21,Dec-2027,Dec,2027,FEFZ27,95.83,10704,0,M65FZ27,110.5,0,0,14.67,LPFZ27,0.1525,0,0,-1.37,-1.41,Backwardation
2026-09-21,Jan-2028,Jan,2028,FEFF28,95.68,933,0,M65FF28,110.32,0,0,14.64,LPFF28,,0,0,-1.52,-1.56,Backwardation
2026-09-21,Feb-2028,Feb,2028,FEFG28,95.51,933,0,M65FG28,110.15,0,0,14.64,LPFG28,,0,0,-1.69,-1.74,Backwardation
2026-09-21,Mar-2028,Mar,2028,FEFH28,95.37,933,0,M65FH28,110.01,0,0,14.64,LPFH28,,0,0,-1.83,-1.88,Backwardation
2026-09-21,Apr-2028,Apr,2028,FEFJ28,95.2,887,0,M65FJ28,109.8,0,0,14.6,LPFJ28,,0,0,-2.0,-2.06,Backwardation
2026-09-21,May-2028,May,2028,FEFK28,95.03,887,0,M65FK28,109.63,0,0,14.6,LPFK28,,0,0,-2.17,-2.23,Backwardation
2026-09-21,Jun-2028,Jun,2028,FEFM28,94.87,888,0,M65FM28,109.47,0,0,14.6,LPFM28,,0,0,-2.33,-2.4,Backwardation
2026-09-21,Jul-2028,Jul,2028,FEFN28,94.73,875,0,M65FN28,109.3,0,0,14.57,LPFN28,,0,0,-2.47,-2.54,Backwardation
2026-09-21,Aug-2028,Aug,2028,FEFQ28,94.59,875,0,M65FQ28,109.16,0,0,14.57,LPFQ28,,0,0,-2.61,-2.69,Backwardation
2026-09-21,Sep-2028,Sep,2028,FEFU28,94.45,875,0,M65FU28,109.02,0,0,14.57,LPFU28,,0,0,-2.75,-2.83,Backwardation
2026-09-21,Oct-2028,Oct,2028,FEFV28,94.29,825,0,M65FV28,108.83,0,0,14.54,LPFV28,,0,0,-2.91,-2.99,Backwardation
2026-09-21,Nov-2028,Nov,2028,FEFX28,94.12,827,0,M65FX28,108.66,0,0,14.54,LPFX28,,0,0,-3.08,-3.17,Backwardation
2026-09-21,Dec-2028,Dec,2028,FEFZ28,93.95,990,0,M65FZ28,108.49,0,0,14.54,LPFZ28,,0,0,-3.25,-3.34,Backwardation
2026-09-21,Jan-2029,Jan,2029,FEFF29,93.77,300,0,M65FF29,,0,0,,LPFF29,,0,0,-3.43,-3.53,Backwardation
