date,week,month,year,port,in_port,loaded_7_days,due_10_days
1995-01-04,1,1,1995,Gulf,39,58.0,62.0
1995-01-11,2,1,1995,Gulf,36,64.0,72.0
1995-01-18,3,1,1995,Gulf,40,60.0,73.0
1995-01-25,4,1,1995,Gulf,41,59.0,63.0
1995-02-01,5,1,1995,Gulf,36,62.0,79.0
1995-02-08,6,2,1995,Gulf,42,59.0,78.0
1995-02-15,7,2,1995,Gulf,42,,
1995-02-22,8,2,1995,Gulf,32,58.0,73.0
1995-03-01,9,2,1995,Gulf,38,56.0,72.0
1995-03-08,10,3,1995,Gulf,35,58.0,77.0
1995-03-15,11,3,1995,Gulf,32,50.0,77.0
1995-03-22,12,3,1995,Gulf,31,50.0,83.0
1995-03-29,13,3,1995,Gulf,32,44.0,90.0
1995-04-05,14,4,1995,Gulf,29,47.0,77.0
1995-04-12,15,4,1995,Gulf,29,,
1995-04-19,16,4,1995,Gulf,27,47.0,69.0
1995-04-26,17,4,1995,Gulf,19,37.0,48.0
1995-05-03,18,4,1995,Gulf,24,48.0,48.0
1995-05-10,19,5,1995,Gulf,24,,
1995-05-17,20,5,1995,Gulf,26,43.0,59.0
1995-05-24,21,5,1995,Gulf,23,53.0,49.0
1995-05-31,22,5,1995,Gulf,30,45.0,42.0
1995-06-07,23,6,1995,Gulf,26,37.0,37.0
1995-06-14,24,6,1995,Gulf,28,22.0,31.0
1995-06-21,25,6,1995,Gulf,27,30.0,38.0
1995-06-28,26,6,1995,Gulf,26,41.0,52.0
1995-07-05,27,7,1995,Gulf,24,40.0,50.0
1995-07-12,28,7,1995,Gulf,17,38.0,56.0
1995-07-19,29,7,1995,Gulf,23,44.0,60.0
1995-07-26,30,7,1995,Gulf,24,40.0,67.0
1995-08-02,31,7,1995,Gulf,25,48.0,70.0
1995-08-09,32,8,1995,Gulf,29,47.0,49.0
1995-08-16,33,8,1995,Gulf,29,44.0,57.0
1995-08-23,34,8,1995,Gulf,26,49.0,61.0
1995-08-30,35,8,1995,Gulf,27,51.0,62.0
1995-09-06,36,9,1995,Gulf,21,47.0,61.0
1995-09-13,37,9,1995,Gulf,29,55.0,76.0
1995-09-20,38,9,1995,Gulf,38,50.0,77.0
1995-09-27,39,9,1995,Gulf,40,57.0,79.0
1995-10-04,40,10,1995,Gulf,33,48.0,61.0
1995-10-11,41,10,1995,Gulf,36,51.0,67.0
1995-10-19,42,10,1995,Gulf,38,54.0,58.0
1995-10-25,43,10,1995,Gulf,34,56.0,71.0
1995-11-01,44,10,1995,Gulf,41,44.0,67.0
1995-11-08,45,11,1995,Gulf,46,53.0,68.0
1995-11-15,46,11,1995,Gulf,37,42.0,72.0
1995-11-22,47,11,1995,Gulf,33,43.0,53.0
1995-11-29,48,11,1995,Gulf,30,51.0,75.0
