date,world_total_mt,china_mt,india_mt,japan_mt,united_states_mt,russia_mt,south_korea_mt,germany_mt,turkiye_mt,brazil_mt,asia_oceania_mt,eu27_mt,yoy_change_pct,source_url,publisher,method
2024-01-01,148.1,77.2,12.5,7.3,6.8,6.2,5.7,2.9,3.2,2.5,107.6,10.2,-1.6,https://worldsteel.org/media/press-releases/2024/january-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-02-01,148.8,81.2,11.8,7.0,6.5,5.7,5.1,3.1,3.1,2.8,109.7,10.6,3.7,https://worldsteel.org/media/press-releases/2024/february-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-03-01,161.2,88.3,12.7,7.2,6.9,6.6,5.3,3.5,3.2,2.8,118.3,11.6,-4.3,https://worldsteel.org/media/press-releases/2024/march-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-04-01,155.7,85.9,12.1,7.1,6.7,6.2,5.1,3.4,2.8,2.7,114.8,11.3,-5.0,https://worldsteel.org/media/press-releases/2024/april-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-05-01,165.1,92.9,12.2,7.2,6.9,6.3,5.2,3.2,3.2,2.6,122.1,11.7,1.5,https://worldsteel.org/media/press-releases/2024/may-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-06-01,165.4,91.6,12.3,7.0,6.7,6.0,5.1,3.2,3.1,2.9,120.6,11.1,0.5,https://worldsteel.org/media/press-releases/2024/june-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-07-01,152.8,82.9,12.3,7.1,6.9,6.3,5.5,3.1,3.1,3.1,112.7,10.8,-4.7,https://worldsteel.org/media/press-releases/2024/july-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-08-01,144.8,77.9,12.3,6.9,7.0,5.8,5.5,2.9,3.1,3.0,107.1,9.1,-6.5,https://worldsteel.org/media/press-releases/2024/august-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-09-01,143.6,77.1,11.7,6.6,6.7,5.6,5.5,3.0,3.1,2.8,105.3,10.5,-4.7,https://worldsteel.org/media/press-releases/2024/september-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-10-01,152.1,81.9,12.5,6.9,6.6,5.6,5.4,3.2,3.0,3.1,111.3,11.3,1.0,https://worldsteel.org/media/press-releases/2024/october-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-11-01,146.8,78.4,12.4,6.9,6.4,5.5,5.2,2.9,3.0,2.8,107.4,10.7,0.8,https://worldsteel.org/media/press-releases/2024/november-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2024-12-01,144.5,76.0,13.6,6.9,6.7,5.7,5.2,2.7,3.0,2.6,106.3,9.6,5.6,https://worldsteel.org/media/press-releases/2024/december-2024-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2025-01-01,151.4,81.9,13.6,6.8,6.6,6.0,5.2,2.8,3.2,2.6,112.3,10.3,-4.4,https://worldsteel.org/media/press-releases/2025/january-2025-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2025-02-01,144.7,78.9,12.7,6.4,6.0,5.8,5.2,2.7,2.9,2.7,107.3,10.1,-3.4,https://worldsteel.org/media/press-releases/2025/february-2025-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2025-03-01,166.1,92.8,13.8,7.2,6.7,6.2,5.0,3.1,3.1,2.9,123.6,11.7,2.9,https://worldsteel.org/media/press-releases/2025/march-2025-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2025-04-01,155.7,86.0,12.9,6.6,6.6,5.8,5.0,3.0,3.0,2.6,115.0,11.1,-0.3,https://worldsteel.org/media/press-releases/2025/april-2025-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2025-05-01,158.8,86.6,13.5,6.8,7.0,5.8,5.1,3.0,3.1,2.7,116.6,11.4,-3.8,https://worldsteel.org/media/press-releases/2025/may-2025-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2025-06-01,151.4,83.2,13.6,6.7,6.9,5.6,5.0,2.7,2.9,2.8,112.9,10.4,-5.8,https://worldsteel.org/media/press-releases/2025/june-2025-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
2025-07-01,150.1,79.7,14.0,6.9,7.1,5.7,5.3,2.7,3.2,2.9,110.4,10.2,-1.3,https://worldsteel.org/media/press-releases/2025/july-2025-crude-steel-production/,World Steel Association (worldsteel),"Official Monthly Press Releases (70 reporting countries, ~98% global production)"
