date,portid,portname,country,hub_code,daily_port_calls_total,daily_port_calls_dry_bulk,daily_port_calls_tanker,daily_port_calls_container,import_dry_bulk_kt,export_dry_bulk_kt,import_tanker_kt,export_tanker_kt
2019-01-01,port1069,Qingdao Port,China,port1069,23.0,4.0,1.0,13.0,182.76,2.46,0.0,3.65
2019-01-02,port1069,Qingdao Port,China,port1069,25.0,4.0,3.0,16.0,441.66,1.38,0.0,24.38
2019-01-03,port1069,Qingdao Port,China,port1069,34.0,5.0,5.0,19.0,134.26,4.46,543.72,46.4
2019-01-04,port1069,Qingdao Port,China,port1069,32.0,3.0,2.0,22.0,143.42,0.0,0.0,1.43
2019-01-05,port1069,Qingdao Port,China,port1069,38.0,6.0,3.0,25.0,437.8,5.84,284.52,0.0
2019-01-06,port1069,Qingdao Port,China,port1069,27.0,4.0,2.0,16.0,124.67,0.0,0.0,72.42
2019-01-07,port1069,Qingdao Port,China,port1069,39.0,6.0,3.0,24.0,302.64,2.76,420.05,2.73
2019-01-08,port1069,Qingdao Port,China,port1069,23.0,3.0,4.0,15.0,102.87,0.0,38.16,0.96
2019-01-09,port1069,Qingdao Port,China,port1069,30.0,6.0,5.0,18.0,404.64,8.93,393.14,12.72
2019-01-10,port1069,Qingdao Port,China,port1069,17.0,2.0,1.0,13.0,44.24,22.59,10.7,0.0
2019-01-11,port1069,Qingdao Port,China,port1069,35.0,4.0,1.0,24.0,262.63,5.84,1.56,0.0
2019-01-12,port1069,Qingdao Port,China,port1069,34.0,4.0,5.0,19.0,306.74,0.0,178.28,15.0
2019-01-13,port1069,Qingdao Port,China,port1069,22.0,5.0,0.0,15.0,309.45,1.38,0.0,0.0
2019-01-14,port1069,Qingdao Port,China,port1069,27.0,5.0,3.0,15.0,265.97,65.19,0.0,19.24
2019-01-15,port1069,Qingdao Port,China,port1069,29.0,3.0,5.0,15.0,68.37,10.37,335.54,2.73
2019-01-16,port1069,Qingdao Port,China,port1069,27.0,3.0,7.0,16.0,199.83,40.71,291.38,43.97
2019-01-17,port1069,Qingdao Port,China,port1069,35.0,6.0,5.0,21.0,327.83,32.63,173.85,16.75
2019-01-18,port1069,Qingdao Port,China,port1069,32.0,4.0,7.0,20.0,248.98,0.0,466.81,32.97
2019-01-19,port1069,Qingdao Port,China,port1069,34.0,5.0,3.0,23.0,203.68,23.23,99.43,11.43
2019-01-20,port1069,Qingdao Port,China,port1069,24.0,4.0,2.0,15.0,360.25,4.46,17.56,0.96
2019-01-21,port1069,Qingdao Port,China,port1069,25.0,3.0,6.0,15.0,285.72,65.96,311.57,43.86
2019-01-22,port1069,Qingdao Port,China,port1069,28.0,2.0,5.0,19.0,289.83,0.0,202.91,43.2
2019-01-23,port1069,Qingdao Port,China,port1069,35.0,5.0,5.0,17.0,405.49,1.38,92.7,68.19
2019-01-24,port1069,Qingdao Port,China,port1069,27.0,2.0,7.0,17.0,0.0,37.79,101.31,36.33
2019-01-25,port1069,Qingdao Port,China,port1069,32.0,2.0,7.0,20.0,255.64,0.0,270.56,75.2
2019-01-26,port1069,Qingdao Port,China,port1069,30.0,5.0,5.0,16.0,150.6,0.0,258.77,22.22
2019-01-27,port1069,Qingdao Port,China,port1069,27.0,3.0,4.0,17.0,117.51,0.0,168.46,33.33
2019-01-28,port1069,Qingdao Port,China,port1069,28.0,3.0,7.0,15.0,25.85,17.86,295.88,45.22
2019-01-29,port1069,Qingdao Port,China,port1069,19.0,3.0,2.0,11.0,138.05,4.46,264.6,14.83
2019-01-30,port1069,Qingdao Port,China,port1069,33.0,7.0,6.0,17.0,655.71,1.38,85.28,15.11
2019-01-31,port1069,Qingdao Port,China,port1069,28.0,1.0,8.0,15.0,0.0,2.61,363.22,43.8
2019-02-01,port1069,Qingdao Port,China,port1069,34.0,4.0,3.0,24.0,197.1,2.51,35.95,0.0
2019-02-02,port1069,Qingdao Port,China,port1069,27.0,4.0,2.0,19.0,23.25,0.74,4.62,41.55
2019-02-03,port1069,Qingdao Port,China,port1069,27.0,5.0,4.0,17.0,337.99,64.03,120.71,12.67
2019-02-04,port1069,Qingdao Port,China,port1069,25.0,1.0,3.0,18.0,16.94,0.0,434.0,7.82
2019-02-05,port1069,Qingdao Port,China,port1069,24.0,4.0,2.0,17.0,146.32,4.46,85.44,5.34
2019-02-06,port1069,Qingdao Port,China,port1069,14.0,2.0,3.0,8.0,65.77,4.1,19.88,32.58
2019-02-07,port1069,Qingdao Port,China,port1069,14.0,1.0,4.0,7.0,0.0,0.0,263.15,2.73
2019-02-08,port1069,Qingdao Port,China,port1069,19.0,2.0,6.0,10.0,117.98,4.46,137.68,5.76
2019-02-09,port1069,Qingdao Port,China,port1069,22.0,3.0,3.0,13.0,258.79,0.0,272.43,0.0
2019-02-10,port1069,Qingdao Port,China,port1069,17.0,1.0,5.0,11.0,0.0,35.05,297.81,18.41
2019-02-11,port1069,Qingdao Port,China,port1069,20.0,4.0,3.0,9.0,181.8,4.46,3.3,7.01
2019-02-12,port1069,Qingdao Port,China,port1069,29.0,5.0,4.0,17.0,362.63,4.46,184.1,51.32
2019-02-13,port1069,Qingdao Port,China,port1069,17.0,3.0,5.0,7.0,170.41,23.72,354.28,11.84
2019-02-14,port1069,Qingdao Port,China,port1069,18.0,5.0,3.0,9.0,361.29,5.84,128.12,23.75
2019-02-15,port1069,Qingdao Port,China,port1069,29.0,4.0,8.0,15.0,273.84,23.04,273.02,21.86
2019-02-16,port1069,Qingdao Port,China,port1069,36.0,6.0,4.0,21.0,381.62,69.97,100.87,5.93
2019-02-17,port1069,Qingdao Port,China,port1069,23.0,4.0,3.0,11.0,305.2,8.21,129.63,3.33
2019-02-18,port1069,Qingdao Port,China,port1069,20.0,4.0,3.0,12.0,199.19,0.0,302.14,11.08
2019-02-19,port1069,Qingdao Port,China,port1069,25.0,0.0,6.0,15.0,0.0,0.0,342.75,54.64
2019-02-20,port1069,Qingdao Port,China,port1069,25.0,4.0,1.0,17.0,184.63,4.46,21.52,0.0
2019-02-21,port1069,Qingdao Port,China,port1069,36.0,7.0,7.0,17.0,390.11,57.01,4.94,303.15
2019-02-22,port1069,Qingdao Port,China,port1069,34.0,5.0,6.0,20.0,370.49,61.78,15.88,135.49
2019-02-23,port1069,Qingdao Port,China,port1069,26.0,3.0,2.0,18.0,73.82,0.0,133.07,12.43
2019-02-24,port1069,Qingdao Port,China,port1069,29.0,3.0,2.0,21.0,223.98,0.0,0.0,36.59
2019-02-25,port1069,Qingdao Port,China,port1069,31.0,3.0,5.0,18.0,72.88,19.8,387.26,15.04
2019-02-26,port1069,Qingdao Port,China,port1069,28.0,4.0,5.0,14.0,338.63,13.39,137.84,16.68
2019-02-27,port1069,Qingdao Port,China,port1069,26.0,8.0,4.0,11.0,247.05,92.22,262.91,15.47
2019-02-28,port1069,Qingdao Port,China,port1069,30.0,2.0,7.0,18.0,234.24,0.0,139.94,65.62
2019-03-01,port1069,Qingdao Port,China,port1069,33.0,3.0,6.0,20.0,74.51,0.0,167.15,5.35
2019-03-02,port1069,Qingdao Port,China,port1069,36.0,4.0,4.0,26.0,147.38,65.1,211.78,5.46
2019-03-03,port1069,Qingdao Port,China,port1069,29.0,5.0,3.0,17.0,337.39,22.07,9.94,18.53
2019-03-04,port1069,Qingdao Port,China,port1069,21.0,1.0,6.0,12.0,0.0,43.43,234.0,23.22
2019-03-05,port1069,Qingdao Port,China,port1069,29.0,2.0,7.0,16.0,25.89,44.28,306.68,77.97
2019-03-06,port1069,Qingdao Port,China,port1069,31.0,3.0,6.0,16.0,228.35,47.21,205.35,10.06
2019-03-07,port1069,Qingdao Port,China,port1069,31.0,2.0,3.0,21.0,164.23,6.63,5.94,21.31
2019-03-08,port1069,Qingdao Port,China,port1069,31.0,2.0,2.0,23.0,72.65,40.4,16.98,4.15
2019-03-09,port1069,Qingdao Port,China,port1069,36.0,2.0,7.0,19.0,146.66,4.46,514.87,11.11
2019-03-10,port1069,Qingdao Port,China,port1069,28.0,1.0,2.0,19.0,173.63,0.0,0.73,51.93
2019-03-11,port1069,Qingdao Port,China,port1069,28.0,5.0,5.0,14.0,393.62,21.51,114.2,1.79
2019-03-12,port1069,Qingdao Port,China,port1069,26.0,3.0,4.0,16.0,228.91,13.99,280.92,23.02
2019-03-13,port1069,Qingdao Port,China,port1069,23.0,1.0,3.0,16.0,250.46,0.0,268.23,11.12
2019-03-14,port1069,Qingdao Port,China,port1069,35.0,3.0,1.0,23.0,141.42,0.0,0.93,0.0
2019-03-15,port1069,Qingdao Port,China,port1069,31.0,4.0,9.0,16.0,56.04,25.79,379.58,14.92
2019-03-16,port1069,Qingdao Port,China,port1069,26.0,3.0,1.0,20.0,171.63,52.28,0.6,0.96
