date,cfr_62,cfr_65,port_stock_62,port_stock_65,inventories_mt,steel_production_mt,steel_inventories_mt
2018-07-03,,,,,158.0,370.0,472.0
2018-07-17,,,,,156.0,451.0,4.4
2018-07-19,,,,,,,
2018-07-31,,,,,156.0,451.0,4.1
2018-08-11,,,,,154.0,451.0,4.1
2018-08-28,,,,,151.0,533.0,4.1
2018-09-11,,,,,150.0,533.0,4.2
2018-09-25,,,,,149.0,617.0,4.1
2018-10-09,,,,,146.0,617.0,4.1
2018-10-23,,,,,144.0,699.0,4.2
2018-11-06,,,,,142.0,699.0,3.6
2018-11-20,,,,,141.0,782.0,3.1
2018-12-04,,,,,138.0,782.0,2.9
2018-12-18,,,,,137.0,857.0,2.8
2019-01-08,,,,,137.0,857.0,2.8
2019-01-22,,,,,141.0,928.0,3.7
2019-02-19,,,,,144.0,928.0,7.4
2019-03-05,,,,,146.0,928.0,9.1
2019-03-19,,,,,148.0,150.0,8.7
2019-04-02,,,,,148.0,150.0,8.1
2019-04-16,,,,,144.0,150.0,7.2
2019-04-30,,,,,144.0,150.0,7.2
2019-05-14,,,,,133.0,231.0,5.7
2019-05-28,,,,,128.0,315.0,5.2
2019-06-11,,,,,122.0,315.0,5.0
2019-06-25,,,,,117.0,405.0,5.3
2019-07-09,,,,,116.0,405.0,5.4
2019-07-23,,,,,118.0,492.0,5.6
2019-08-06,,,,,121.0,492.0,6.0
2019-08-20,,,,,123.0,577.0,6.0
2019-09-03,,,,,125.0,577.0,5.8
2019-09-17,,,,,125.0,665.0,5.2
2019-10-01,,,,,126.0,665.0,4.8
2019-10-15,,,,,130.0,665.0,4.9
2019-10-29,,,,,134.0,748.0,4.1
2019-11-12,,,,,132.0,748.0,3.5
2019-11-26,,,,,130.0,829.0,2.9
2019-12-10,,,,,130.0,829.0,2.9
2019-12-24,,,,,129.0,904.0,3.0
2020-01-07,,,,,130.0,904.0,3.1
2020-01-21,,,,,127.0,996.0,4.5
2020-02-04,,,,,127.0,996.0,4.5
