date,cape_waus_ore_mt,cape_brazil_ore_mt,cape_guinea_bauxite_mt,cape_total_ton_miles_bn,cape_fleet_utilization_pct,model_disclosed
2024-01-01,48.0,26.91,11.2,594.2,72.9,True
2024-02-01,48.0,26.39,11.32,589.9,72.4,True
2024-03-01,48.0,24.39,11.44,569.2,69.8,True
2024-04-01,48.0,27.12,11.56,600.6,73.7,True
2024-05-01,48.0,30.64,11.68,640.7,78.6,True
2024-06-01,48.0,31.27,11.79,648.8,79.6,True
2024-07-01,48.0,37.06,9.71,689.2,84.6,True
2024-08-01,48.0,32.0,9.83,634.9,77.9,True
2024-09-01,48.0,34.5,9.95,663.7,81.4,True
2024-10-01,48.0,34.5,12.27,689.7,84.6,True
2024-11-01,48.0,34.5,12.39,691.1,84.8,True
2024-12-01,48.0,34.5,12.51,692.4,85.0,True
2025-01-01,48.0,28.83,12.62,631.3,77.5,True
2025-02-01,48.0,24.17,12.74,581.4,71.3,True
2025-03-01,48.0,25.84,12.86,601.1,73.8,True
2025-04-01,48.0,27.99,12.98,626.1,76.8,True
2025-05-01,48.0,32.37,13.1,675.6,82.9,True
2025-06-01,48.0,34.22,13.22,697.3,85.6,True
2025-07-01,48.0,38.66,11.14,722.8,88.7,True
2025-08-01,48.0,37.68,11.26,713.4,87.5,True
2025-09-01,48.0,34.5,11.38,679.8,83.4,True
2025-10-01,48.0,34.5,13.69,705.6,86.6,True
2025-11-01,48.0,34.5,13.81,707.0,86.7,True
2025-12-01,48.0,34.5,13.93,708.3,86.9,True
2026-01-01,48.0,26.39,14.05,620.5,76.1,True
2026-02-01,48.0,26.19,14.17,619.6,76.0,True
2026-03-01,48.0,25.77,14.29,616.3,75.6,True
2026-04-01,48.0,31.61,14.41,681.9,83.7,True
2026-05-01,48.0,25.57,14.53,616.8,75.7,True
2026-06-01,48.0,39.67,14.64,773.1,94.9,True
2026-07-01,48.0,35.18,12.56,700.5,85.9,True
2026-08-01,48.0,34.5,12.68,694.3,85.2,True
