date,year,quarter,minneapolis_to_shanghai,north_mt_to_shanghai,south_go_to_shanghai,davenport_to_shanghai,north_mt_minus_minneapolis,north_mt_minus_davenport,south_go_minus_minneapolis,south_go_minus_davenport
03/31/2006,2006,1,70.51,136.35,92.25,66.55,65.84,69.8,21.74,25.7
06/30/2006,2006,2,73.0,124.0,81.55,66.28,51.0,57.72,8.55,15.27
09/30/2006,2006,3,94.94,137.53,105.43,86.75,42.59,50.78,10.49,18.68
12/31/2006,2006,4,99.72,149.18,113.82,88.14,49.46,61.04,14.1,25.68
03/31/2007,2007,1,82.31,161.3,115.25,82.83,78.99,78.47,32.94,32.42
06/30/2007,2007,2,95.15,201.77,158.65,89.41,106.62,112.36,63.5,69.24
09/30/2007,2007,3,136.33,173.79,116.05,131.78,37.46,42.01,-20.28,-15.73
12/31/2007,2007,4,164.76,185.17,128.87,157.35,20.41,27.82,-35.89,-28.48
03/31/2008,2008,1,143.92,188.01,125.69,145.23,44.09,42.78,-18.23,-19.54
06/30/2008,2008,2,169.51,199.03,135.53,162.75,29.52,36.28,-33.98,-27.22
09/30/2008,2008,3,159.3,212.69,135.45,153.38,53.39,59.31,-23.85,-17.93
12/31/2008,2008,4,77.64,149.32,115.24,71.66,71.68,77.66,37.6,43.58
03/31/2009,2009,1,66.06,156.23,107.4,60.76,90.17,95.47,41.34,46.64
06/30/2009,2009,2,79.73,164.89,118.8,73.86,85.16,91.03,39.07,44.94
09/30/2009,2009,3,90.79,149.41,102.81,85.79,58.62,63.62,12.02,17.02
12/31/2009,2009,4,110.52,162.58,110.24,103.53,52.06,59.05,-0.28,6.71
03/31/2010,2010,1,86.86,165.43,114.36,86.86,78.57,78.57,27.5,27.5
06/30/2010,2010,2,101.82,168.81,124.4,95.25,66.99,73.56,22.58,29.15
09/30/2010,2010,3,102.89,178.33,129.62,96.23,75.44,82.1,26.73,33.39
12/31/2010,2010,4,106.22,177.91,125.88,96.25,71.69,81.66,19.66,29.63
03/31/2011,2011,1,86.51,174.57,118.21,86.51,88.06,88.06,31.7,31.7
06/30/2011,2011,2,100.18,175.88,127.93,90.19,75.7,85.69,27.75,37.74
09/30/2011,2011,3,98.02,180.08,124.86,90.63,82.06,89.45,26.84,34.23
12/31/2011,2011,4,100.83,164.7,109.86,94.46,63.87,70.24,9.03,15.4
03/31/2012,2012,1,70.0,164.14,107.46,70.0,94.14,94.14,37.46,37.46
06/30/2012,2012,2,88.91,161.42,108.14,80.96,72.51,80.46,19.23,27.18
09/30/2012,2012,3,92.67,160.15,108.43,85.19,67.48,74.96,15.76,23.24
12/31/2012,2012,4,95.63,160.22,108.53,88.5,64.59,71.72,12.9,20.03
03/31/2013,2013,1,103.11,176.37,112.19,94.56,73.26,81.81,9.08,17.63
