date,Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
2026-06-21,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jun 26,DD3CM M26 INDEX,DD3CM M26,111.0,87.565,9719715.0,33.22%
2026-06-21,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,140.0,80.805,11312700.0,38.66%
2026-06-21,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,140.0,62.063,8688820.0,29.69%
2026-06-21,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,140.0,50.911,7127540.0,24.36%
2026-06-21,TD20 FFA 130kt West Africa to Continent USD/MT M Jun 26,DD20M M26 INDEX,DD20M M26,5.0,29.114,145570.0,0.50%
2026-06-21,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,30.0,31.96,958800.0,3.28%
2026-06-21,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,30.0,28.426,852780.0,2.91%
2026-06-21,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,30.0,25.123,753690.0,2.58%
2026-06-21,Cash & Other,Cash&Other,Cash&Other,22905238.96,1.0,22905238.96,78.27%
2026-06-21,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,6342688.44,100.0,6342688.44,21.67%
2026-06-22,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jun 26,DD3CM M26 INDEX,DD3CM M26,111.0,87.561,9719271.0,30.76%
2026-06-22,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,150.0,81.515,12227250.0,38.70%
2026-06-22,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,150.0,61.782,9267300.0,29.33%
2026-06-22,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,150.0,50.53,7579500.0,23.99%
2026-06-22,TD20 FFA 130kt West Africa to Continent USD/MT M Jun 26,DD20M M26 INDEX,DD20M M26,5.0,29.36,146800.0,0.46%
2026-06-22,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,30.0,36.491,1094730.0,3.46%
2026-06-22,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,30.0,29.457,883710.0,2.80%
2026-06-22,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,30.0,27.251,817530.0,2.59%
2026-06-22,Cash & Other,Cash&Other,Cash&Other,24172567.81,1.0,24172567.81,76.51%
2026-06-22,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,7387040.94,100.0,7387040.94,23.38%
2026-06-23,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jun 26,DD3CM M26 INDEX,DD3CM M26,111.0,88.709,9846699.0,30.43%
2026-06-23,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,150.0,83.229,12484350.0,38.58%
