Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,155.0,38793.0,6012915.0,19.77%
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,37593.0,5826915.0,19.16%
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,50.0,38443.0,1922150.0,6.32%
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,50.0,37236.0,1861800.0,6.12%
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,50.0,36068.0,1803400.0,5.93%
Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,20568.0,4216440.0,13.86%
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,20982.0,4301310.0,14.14%
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,80.0,21646.0,1731680.0,5.69%
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,80.0,20982.0,1678560.0,5.52%
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,80.0,19782.0,1582560.0,5.20%
Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18629.0,1024595.0,3.37%
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,19996.0,1099780.0,3.62%
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,15.0,20529.0,307935.0,1.01%
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,15.0,19668.0,295020.0,0.97%
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,15.0,18336.0,275040.0,0.90%
Cash & Other,Cash&Other,Cash&Other,29561296.95,1.0,29561296.95,97.18%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,852646.16,100.0,852646.16,2.80%
