Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,160.0,95.106,15216960.0,21.69%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,225.0,91.959,20690775.0,29.49%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,132.0,83.87,11070840.0,15.78%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,132.0,77.81,10270920.0,14.64%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,132.0,69.464,9169248.0,13.07%
TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,30.0,38.554,1156620.0,1.65%
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,40.0,43.263,1730520.0,2.47%
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,45.0,39.692,1786140.0,2.55%
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,45.0,38.184,1718280.0,2.45%
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,45.0,36.418,1638810.0,2.34%
Cash & Other,Cash&Other,Cash&Other,42390091.31,1.0,42390091.31,60.41%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,27769924.85,100.0,27769924.85,39.58%
