Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,8400349.2,100.0,8400349.2,23.00%,BDRY,2026-09-17
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,48846.0,7571130.0,20.73%,BDRY,2026-09-17
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,115.0,46839.0,5386485.0,14.75%,BDRY,2026-09-17
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,115.0,44793.0,5151195.0,14.10%,BDRY,2026-09-17
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,115.0,42886.0,4931890.0,13.50%,BDRY,2026-09-17
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,21368.0,4380440.0,11.99%,BDRY,2026-09-17
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,175.0,22343.0,3910025.0,10.71%,BDRY,2026-09-17
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,175.0,22271.0,3897425.0,10.67%,BDRY,2026-09-17
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,175.0,21496.0,3761800.0,10.30%,BDRY,2026-09-17
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,20061.0,1103355.0,3.02%,BDRY,2026-09-17
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,45.0,21554.0,969930.0,2.66%,BDRY,2026-09-17
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,45.0,21382.0,962190.0,2.63%,BDRY,2026-09-17
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,45.0,20439.0,919755.0,2.52%,BDRY,2026-09-17
Cash & Other,Cash&Other,Cash&Other,28116383.46,1.0,28116383.46,76.98%,BDRY,2026-09-17
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,126835390.66,100.0,126835390.66,41.73%,BWET,2026-09-17
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,65.0,66.781,4340765.0,1.43%,BWET,2026-09-17
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,125.0,88.838,11104750.0,3.65%,BWET,2026-09-17
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,125.0,73.827,9228375.0,3.04%,BWET,2026-09-17
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,125.0,58.514,7314250.0,2.41%,BWET,2026-09-17
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,220.0,187.698,41293560.0,13.58%,BWET,2026-09-17
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,387.0,212.779,82345473.0,27.09%,BWET,2026-09-17
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,387.0,205.362,79475094.0,26.15%,BWET,2026-09-17
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,407.0,199.979,81391453.0,26.78%,BWET,2026-09-17
Cash & Other,Cash&Other,Cash&Other,177313770.13,1.0,177313770.13,58.33%,BWET,2026-09-17
