contract,expiry_month,expiry_year,date,price,volume,open_interest,expiry_date
FEFF27,Jan 2027,2027,2026-09-10,98.43,7882.0,69490.0,2027-01-29
FEFF28,Jan 2028,2028,2026-09-10,96.56,25.0,923.0,2028-01-31
FEFF29,Jan 2029,2029,2026-09-10,94.3,25.0,285.0,2029-01-31
FEFG27,Feb 2027,2027,2026-09-10,98.31,2703.0,26524.0,2027-02-26
FEFG28,Feb 2028,2028,2026-09-10,96.37,25.0,923.0,2028-02-29
FEFG29,Feb 2029,2029,2026-09-10,94.11,25.0,285.0,2029-02-28
FEFH27,Mar 2027,2027,2026-09-10,98.17,2202.0,21983.0,2027-03-31
FEFH28,Mar 2028,2028,2026-09-10,96.18,25.0,923.0,2028-03-31
FEFH29,Mar 2029,2029,2026-09-10,93.93,25.0,285.0,2029-03-30
FEFJ27,Apr 2027,2027,2026-09-10,98.02,290.0,13701.0,2027-04-30
FEFJ28,Apr 2028,2028,2026-09-10,95.98,25.0,892.0,2028-04-28
FEFJ29,Apr 2029,2029,2026-09-10,93.76,25.0,285.0,2029-04-30
FEFK27,May 2027,2027,2026-09-10,97.86,290.0,14392.0,2027-05-31
FEFK28,May 2028,2028,2026-09-10,95.78,25.0,892.0,2028-05-31
FEFK29,May 2029,2029,2026-09-10,93.59,25.0,285.0,2029-05-31
FEFM27,Jun 2027,2027,2026-09-10,97.69,290.0,12662.0,2027-06-30
FEFM28,Jun 2028,2028,2026-09-10,95.59,25.0,893.0,2028-06-30
FEFM29,Jun 2029,2029,2026-09-10,93.43,25.0,285.0,2029-06-29
FEFN27,Jul 2027,2027,2026-09-10,97.53,540.0,12031.0,2027-07-30
FEFN28,Jul 2028,2028,2026-09-10,95.39,25.0,880.0,2028-07-31
FEFN29,Jul 2029,2029,2026-09-10,93.26,25.0,290.0,2029-07-31
FEFQ27,Aug 2027,2027,2026-09-10,97.38,540.0,12031.0,2027-08-31
FEFQ28,Aug 2028,2028,2026-09-10,95.2,25.0,880.0,2028-08-31
FEFQ29,Aug 2029,2029,2026-09-10,93.09,25.0,285.0,2029-08-31
FEFU26,Sep 2026,2026,2026-09-10,98.5,14489.0,359058.0,2026-09-30
FEFU27,Sep 2027,2027,2026-09-10,97.24,540.0,12448.0,2027-09-30
FEFU28,Sep 2028,2028,2026-09-10,95.01,25.0,880.0,2028-09-29
FEFU29,Sep 2029,2029,2026-09-10,92.92,25.0,285.0,2029-09-28
FEFV26,Oct 2026,2026,2026-09-10,98.19,107547.0,372297.0,2026-10-30
FEFV27,Oct 2027,2027,2026-09-10,97.11,0.0,8112.0,2027-10-29
FEFV28,Oct 2028,2028,2026-09-10,94.83,25.0,830.0,2028-10-31
FEFV29,Oct 2029,2029,2026-09-10,92.75,25.0,285.0,2029-10-31
FEFX26,Nov 2026,2026,2026-09-10,98.36,43660.0,176067.0,2026-11-30
FEFX27,Nov 2027,2027,2026-09-10,96.94,0.0,7755.0,2027-11-30
FEFX28,Nov 2028,2028,2026-09-10,94.66,25.0,832.0,2028-11-30
FEFX29,Nov 2029,2029,2026-09-10,92.58,25.0,285.0,2029-11-30
FEFZ26,Dec 2026,2026,2026-09-10,98.43,24524.0,136030.0,2026-12-31
FEFZ27,Dec 2027,2027,2026-09-10,96.77,0.0,10704.0,2027-12-31
FEFZ28,Dec 2028,2028,2026-09-10,94.48,25.0,980.0,2028-12-29
FEFZ29,Dec 2029,2029,2026-09-10,92.41,25.0,285.0,2029-12-31
