contract,expiry_month,expiry_year,date,price,volume,open_interest,expiry_date
M65FF27,Jan 2027,2027,2026-09-08,115.49,100.0,300.0,2027-01-29
M65FF28,Jan 2028,2028,2026-09-08,113.25,0.0,0.0,2028-01-31
M65FG27,Feb 2027,2027,2026-09-08,115.32,100.0,300.0,2027-02-26
M65FG28,Feb 2028,2028,2026-09-08,113.08,0.0,0.0,2028-02-29
M65FH27,Mar 2027,2027,2026-09-08,115.13,100.0,300.0,2027-03-31
M65FH28,Mar 2028,2028,2026-09-08,112.9,0.0,0.0,2028-03-31
M65FJ27,Apr 2027,2027,2026-09-08,114.94,0.0,0.0,2027-04-30
M65FJ28,Apr 2028,2028,2026-09-08,112.66,0.0,0.0,2028-04-28
M65FK27,May 2027,2027,2026-09-08,114.78,0.0,0.0,2027-05-31
M65FK28,May 2028,2028,2026-09-08,112.44,0.0,0.0,2028-05-31
M65FM27,Jun 2027,2027,2026-09-08,114.61,0.0,0.0,2027-06-30
M65FM28,Jun 2028,2028,2026-09-08,112.22,0.0,0.0,2028-06-30
M65FN27,Jul 2027,2027,2026-09-08,114.38,0.0,0.0,2027-07-30
M65FN28,Jul 2028,2028,2026-09-08,111.99,0.0,0.0,2028-07-31
M65FQ27,Aug 2027,2027,2026-09-08,114.19,0.0,0.0,2027-08-31
M65FQ28,Aug 2028,2028,2026-09-08,111.81,0.0,0.0,2028-08-31
M65FU26,Sep 2026,2026,2026-09-08,115.73,0.0,14818.0,2026-09-30
M65FU27,Sep 2027,2027,2026-09-08,114.0,0.0,0.0,2027-09-30
M65FU28,Sep 2028,2028,2026-09-08,111.62,0.0,0.0,2028-09-29
M65FV26,Oct 2026,2026,2026-09-08,115.78,350.0,7410.0,2026-10-30
M65FV27,Oct 2027,2027,2026-09-08,113.77,0.0,0.0,2027-10-29
M65FV28,Oct 2028,2028,2026-09-08,111.41,0.0,0.0,2028-10-31
M65FX26,Nov 2026,2026,2026-09-08,115.78,0.0,3933.0,2026-11-30
M65FX27,Nov 2027,2027,2026-09-08,113.63,0.0,0.0,2027-11-30
M65FX28,Nov 2028,2028,2026-09-08,111.22,0.0,0.0,2028-11-30
M65FZ26,Dec 2026,2026,2026-09-08,115.68,0.0,800.0,2026-12-31
M65FZ27,Dec 2027,2027,2026-09-08,113.46,0.0,0.0,2027-12-31
M65FZ28,Dec 2028,2028,2026-09-08,111.03,0.0,0.0,2028-12-29
