Date,Index,% Change
13-03-2026,16333.0,
16-03-2026,15622.0,-4.35
17-03-2026,14333.0,-8.25
18-03-2026,12883.0,-10.12
19-03-2026,16833.0,30.66
07-04-2026,9180.0,-45.46
08-04-2026,9020.0,-1.74
09-04-2026,8920.0,-1.11
10-04-2026,8940.0,0.22
13-04-2026,8773.0,-1.87
14-04-2026,9327.0,6.31
15-04-2026,9303.0,-0.26
16-04-2026,9490.0,2.01
17-04-2026,9603.0,1.19
20-04-2026,9710.0,1.11
21-04-2026,9690.0,-0.21
22-04-2026,9657.0,-0.34
23-04-2026,9710.0,0.55
24-04-2026,9803.0,0.96
27-04-2026,9823.0,0.20
28-04-2026,9774.0,-0.50
29-04-2026,9683.0,-0.93
30-04-2026,9380.0,-3.13
01-05-2026,9233.0,-1.57
05-05-2026,9100.0,-1.44
06-05-2026,9000.0,-1.10
07-05-2026,8847.0,-1.70
08-05-2026,8887.0,0.45
11-05-2026,8923.0,0.41
12-05-2026,8827.0,-1.08
13-05-2026,8820.0,-0.08
14-05-2026,8663.0,-1.78
15-05-2026,8663.0,0.00
18-05-2026,8592.0,-0.82
19-05-2026,8547.0,-0.52
20-05-2026,8700.0,1.79
21-05-2026,8917.0,2.49
22-05-2026,9347.0,4.82
26-05-2026,9873.0,5.63
27-05-2026,10038.0,1.67
28-05-2026,10113.0,0.75
