date,blpg,blpg_2,blpg_3
2019-01-02,34.214,,
2019-01-03,33.964,,
2019-01-04,33.536,,
2019-01-07,33.214,,
2019-01-08,32.393,,
2019-01-09,32.071,,
2019-01-10,31.714,,
2019-01-11,31.571,,
2019-01-14,29.821,,
2019-01-15,29.321,,
2019-01-16,29.25,,
2019-01-17,28.214,,
2019-01-18,26.571,,
2019-01-21,25.857,,
2019-01-22,25.75,,
2019-01-23,25.286,,
2019-01-24,25.107,,
2019-01-25,25.107,,
2019-01-28,24.929,,
2019-01-29,24.429,,
2019-01-30,24.25,,
2019-01-31,24.179,,
2019-02-01,24.107,,
2019-02-04,24.071,,
2019-02-05,24.0,,
2019-02-06,24.107,,
2019-02-07,24.286,,
2019-02-08,24.443,,
2019-02-11,24.571,,
2019-02-12,24.571,,
2019-02-13,24.571,,
2019-02-14,24.714,,
2019-02-15,24.857,,
2019-02-18,25.537,,
2019-02-19,27.286,,
2019-02-20,29.036,,
2019-02-21,29.821,,
2019-02-22,29.857,,
2019-02-25,29.214,,
2019-02-26,28.929,,
2019-02-27,28.0,,
2019-02-28,27.643,,
2019-03-01,27.643,,
2019-03-04,27.714,,
2019-03-05,28.357,,
2019-03-06,28.857,,
2019-03-07,29.5,,
2019-03-08,30.036,,
2019-03-11,30.107,,
2019-03-12,30.929,,
2019-03-13,31.357,,
2019-03-14,33.571,,
2019-03-15,34.5,,
2019-03-18,34.429,,
2019-03-19,35.0,,
2019-03-20,37.143,,
2019-03-21,38.143,,
2019-03-22,38.5,,
2019-03-25,38.643,,
2019-03-26,39.071,,
2019-03-27,40.143,,
2019-03-28,40.857,,
2019-03-29,40.857,,
2019-04-01,41.143,,
2019-04-02,43.857,,
2019-04-03,46.643,,
2019-04-04,48.929,,
2019-04-05,50.714,,
2019-04-08,51.0,,
2019-04-09,51.0,,
2019-04-10,51.857,,
2019-04-11,53.429,,
2019-04-12,54.143,,
2019-04-15,54.929,,
2019-04-16,56.714,,
2019-04-17,60.643,,
2019-04-18,62.143,,
2019-04-23,64.036,,
