Date,Index,% Change
2008-10-06,"4,310",
2008-10-07,"4,279",-0.72%
2008-10-08,"4,057",-5.19%
2008-10-09,"3,548",-12.55%
2008-10-10,"3,087",-12.99%
2008-10-13,"2,696",-12.67%
2008-10-14,"2,414",-10.46%
2008-10-15,"1,992",-17.48%
2008-10-16,"1,842",-7.53%
2008-10-17,"1,776",-3.58%
2008-10-20,"1,674",-5.74%
2008-10-21,"1,605",-4.12%
2008-10-22,"1,572",-2.06%
2008-10-23,"1,525",-2.99%
2008-10-24,"1,504",-1.38%
2008-10-27,"1,456",-3.19%
2008-10-28,"1,400",-3.85%
2008-10-29,"1,345",-3.93%
2008-10-30,"1,307",-2.83%
2008-10-31,"1,265",-3.21%
2008-11-03,"1,233",-2.53%
2008-11-04,"1,211",-1.78%
2008-11-05,"1,185",-2.15%
2008-11-06,"1,162",-1.94%
2008-11-07,"1,120",-3.61%
2008-11-10,"1,095",-2.23%
2008-11-11,"1,065",-2.74%
2008-11-12,"1,048",-1.60%
2008-11-13,"1,040",-0.76%
2008-11-14,"1,016",-2.31%
2008-11-17,"1,002",-1.38%
2008-11-18,994,-0.80%
2008-11-19,989,-0.50%
2008-11-20,976,-1.31%
2008-11-21,967,-0.92%
2008-11-24,955,-1.24%
2008-11-25,932,-2.41%
2008-11-26,883,-5.26%
2008-11-27,858,-2.83%
2008-11-28,838,-2.33%
2008-12-01,833,-0.60%
2008-12-02,830,-0.36%
2008-12-03,830,0.00%
2008-12-04,839,1.08%
2008-12-05,871,3.81%
2008-12-08,938,7.69%
2008-12-09,991,5.65%
2008-12-10,"1,058",6.76%
2008-12-11,"1,142",7.94%
2008-12-12,"1,331",16.55%
2008-12-15,"1,454",9.24%
2008-12-16,"1,514",4.13%
2008-12-17,"1,515",0.07%
2008-12-18,"1,476",-2.57%
2008-12-19,"1,423",-3.59%
2008-12-22,"1,373",-3.51%
2008-12-23,"1,345",-2.04%
2008-12-24,"1,337",-0.59%
2009-01-02,"1,361",1.80%
2009-01-05,"1,386",1.84%
2009-01-06,"1,406",1.44%
2009-01-07,"1,452",3.27%
2009-01-08,"1,564",7.71%
2009-01-09,"1,728",10.49%
2009-01-12,"1,788",3.47%
2009-01-13,"1,864",4.25%
2009-01-14,"1,888",1.29%
2009-01-15,"1,805",-4.40%
2009-01-16,"1,760",-2.49%
2009-01-19,"1,709",-2.90%
2009-01-20,"1,719",0.59%
2009-01-21,"1,800",4.71%
2009-01-22,"1,939",7.72%
2009-01-23,"2,032",4.80%
2009-01-26,"2,049",0.84%
2009-01-27,"2,035",-0.68%
2009-01-28,"2,006",-1.43%
2009-01-29,"1,972",-1.69%
2009-01-30,"1,981",0.46%
2009-02-02,"2,004",1.16%
2009-02-03,"2,093",4.44%
2009-02-04,"2,380",13.71%
2009-02-05,"2,734",14.87%
2009-02-06,"2,999",9.69%
2009-02-09,"3,344",11.50%
2009-02-10,"3,626",8.43%
2009-02-11,"3,822",5.41%
2009-02-12,"3,567",-6.67%
2009-02-13,"3,335",-6.50%
2009-02-16,"3,170",-4.95%
2009-02-17,"3,356",5.87%
2009-02-18,"3,587",6.88%
2009-02-19,"3,733",4.07%
2009-02-20,"3,768",0.94%
2009-02-23,"3,649",-3.16%
2009-02-24,"3,362",-7.87%
2009-02-25,"3,124",-7.08%
2009-02-26,"2,963",-5.15%
2009-02-27,"2,963",0.00%
2009-03-02,"2,921",-1.42%
2009-03-03,"2,862",-2.02%
2009-03-04,"2,818",-1.54%
2009-03-05,"2,830",0.43%
2009-03-06,"2,839",0.32%
2009-03-09,"2,831",-0.28%
2009-03-10,"2,807",-0.85%
2009-03-11,"2,706",-3.60%
2009-03-12,"2,580",-4.66%
2009-03-13,"2,454",-4.88%
2009-03-16,"2,365",-3.63%
2009-03-17,"2,251",-4.82%
2009-03-18,"2,157",-4.18%
2009-03-19,"2,154",-0.14%
2009-03-20,"2,197",2.00%
2009-03-23,"2,215",0.82%
