date,index_name,index_code,close,open,high,low,volume,change_pct
2005-01-03,Capital Link Container,CLCI,4166.0,4166.0,4166.0,4166.0,0.0,0.0
2005-01-04,Capital Link Container,CLCI,4191.0,4191.0,4191.0,4191.0,0.0,0.6001
2005-01-05,Capital Link Container,CLCI,4280.0,4280.0,4280.0,4280.0,0.0,2.1236
2005-01-06,Capital Link Container,CLCI,4239.0,4239.0,4239.0,4239.0,0.0,-0.9579
2005-01-07,Capital Link Container,CLCI,4233.5,4233.5,4233.5,4233.5,0.0,-0.1297
2005-01-10,Capital Link Container,CLCI,4274.0,4274.0,4274.0,4274.0,0.0,0.9567
2005-01-11,Capital Link Container,CLCI,4273.0,4273.0,4273.0,4273.0,0.0,-0.0234
2005-01-12,Capital Link Container,CLCI,4285.0,4285.0,4285.0,4285.0,0.0,0.2808
2005-01-13,Capital Link Container,CLCI,4347.0,4347.0,4347.0,4347.0,0.0,1.4469
2005-01-14,Capital Link Container,CLCI,4397.0,4397.0,4397.0,4397.0,0.0,1.1502
2005-01-18,Capital Link Container,CLCI,4367.0,4367.0,4367.0,4367.0,0.0,-0.6823
2005-01-19,Capital Link Container,CLCI,4357.0,4357.0,4357.0,4357.0,0.0,-0.229
2005-01-20,Capital Link Container,CLCI,4348.0,4348.0,4348.0,4348.0,0.0,-0.2066
2005-01-21,Capital Link Container,CLCI,4378.0,4378.0,4378.0,4378.0,0.0,0.69
2005-01-24,Capital Link Container,CLCI,4424.0,4424.0,4424.0,4424.0,0.0,1.0507
2005-01-25,Capital Link Container,CLCI,4489.0,4489.0,4489.0,4489.0,0.0,1.4693
2005-01-26,Capital Link Container,CLCI,4694.0,4694.0,4694.0,4694.0,0.0,4.5667
2005-01-27,Capital Link Container,CLCI,4581.0,4581.0,4581.0,4581.0,0.0,-2.4073
2005-01-28,Capital Link Container,CLCI,4600.0,4600.0,4600.0,4600.0,0.0,0.4148
2005-01-31,Capital Link Container,CLCI,4637.0,4637.0,4637.0,4637.0,0.0,0.8043
2005-02-01,Capital Link Container,CLCI,4598.0,4598.0,4598.0,4598.0,0.0,-0.8411
2005-02-02,Capital Link Container,CLCI,4632.0,4632.0,4632.0,4632.0,0.0,0.7395
2005-02-03,Capital Link Container,CLCI,4650.0,4650.0,4650.0,4650.0,0.0,0.3886
2005-02-04,Capital Link Container,CLCI,4545.0,4545.0,4545.0,4545.0,0.0,-2.2581
2005-02-07,Capital Link Container,CLCI,4558.0,4558.0,4558.0,4558.0,0.0,0.286
2005-02-08,Capital Link Container,CLCI,4465.0,4465.0,4465.0,4465.0,0.0,-2.0404
2005-02-09,Capital Link Container,CLCI,4453.0,4453.0,4453.0,4453.0,0.0,-0.2688
2005-02-10,Capital Link Container,CLCI,4502.0,4502.0,4502.0,4502.0,0.0,1.1004
2005-02-11,Capital Link Container,CLCI,4506.0,4506.0,4506.0,4506.0,0.0,0.0888
2005-02-14,Capital Link Container,CLCI,4467.0,4467.0,4467.0,4467.0,0.0,-0.8655
2005-02-15,Capital Link Container,CLCI,4458.0,4458.0,4458.0,4458.0,0.0,-0.2015
2005-02-16,Capital Link Container,CLCI,4437.0,4437.0,4437.0,4437.0,0.0,-0.4711
2005-02-17,Capital Link Container,CLCI,4446.0,4446.0,4446.0,4446.0,0.0,0.2028
2005-02-18,Capital Link Container,CLCI,4324.0,4324.0,4324.0,4324.0,0.0,-2.744
2005-02-22,Capital Link Container,CLCI,4372.0,4372.0,4372.0,4372.0,0.0,1.1101
2005-02-23,Capital Link Container,CLCI,4399.0,4399.0,4399.0,4399.0,0.0,0.6176
2005-02-24,Capital Link Container,CLCI,4569.0,4569.0,4569.0,4569.0,0.0,3.8645
2005-02-25,Capital Link Container,CLCI,4540.0,4540.0,4540.0,4540.0,0.0,-0.6347
2005-02-28,Capital Link Container,CLCI,4561.0,4561.0,4561.0,4561.0,0.0,0.4626
2005-03-01,Capital Link Container,CLCI,4534.0,4534.0,4534.0,4534.0,0.0,-0.592
2005-03-02,Capital Link Container,CLCI,4489.0,4489.0,4489.0,4489.0,0.0,-0.9925
2005-03-03,Capital Link Container,CLCI,4530.0,4530.0,4530.0,4530.0,0.0,0.9133
2005-03-04,Capital Link Container,CLCI,4515.0,4515.0,4515.0,4515.0,0.0,-0.3311
2005-03-07,Capital Link Container,CLCI,4443.0,4443.0,4443.0,4443.0,0.0,-1.5947
2005-03-08,Capital Link Container,CLCI,4380.0,4380.0,4380.0,4380.0,0.0,-1.418
2005-03-09,Capital Link Container,CLCI,4349.0,4349.0,4349.0,4349.0,0.0,-0.7078
2005-03-10,Capital Link Container,CLCI,4335.0,4335.0,4335.0,4335.0,0.0,-0.3219
2005-03-11,Capital Link Container,CLCI,4378.0,4378.0,4378.0,4378.0,0.0,0.9919
2005-03-14,Capital Link Container,CLCI,4294.0,4294.0,4294.0,4294.0,0.0,-1.9187
2005-03-15,Capital Link Container,CLCI,4272.0,4272.0,4272.0,4272.0,0.0,-0.5123
2005-03-16,Capital Link Container,CLCI,4276.0,4276.0,4276.0,4276.0,0.0,0.0936
2005-03-17,Capital Link Container,CLCI,4231.0,4231.0,4231.0,4231.0,0.0,-1.0524
2005-03-18,Capital Link Container,CLCI,4245.0,4245.0,4245.0,4245.0,0.0,0.3309
2005-03-21,Capital Link Container,CLCI,4227.0,4227.0,4227.0,4227.0,0.0,-0.424
2005-03-22,Capital Link Container,CLCI,4193.0,4193.0,4193.0,4193.0,0.0,-0.8044
2005-03-23,Capital Link Container,CLCI,4176.0,4176.0,4176.0,4176.0,0.0,-0.4054
2005-03-24,Capital Link Container,CLCI,4201.0,4201.0,4201.0,4201.0,0.0,0.5987
2005-03-28,Capital Link Container,CLCI,4117.0,4117.0,4117.0,4117.0,0.0,-1.9995
2005-03-29,Capital Link Container,CLCI,4144.0,4144.0,4144.0,4144.0,0.0,0.6558
2005-03-30,Capital Link Container,CLCI,4120.0,4120.0,4120.0,4120.0,0.0,-0.5792
2005-03-31,Capital Link Container,CLCI,4034.0,4034.0,4034.0,4034.0,0.0,-2.0874
2005-04-01,Capital Link Container,CLCI,4089.0,4089.0,4089.0,4089.0,0.0,1.3634
2005-04-04,Capital Link Container,CLCI,4097.0,4097.0,4097.0,4097.0,0.0,0.1956
2005-04-05,Capital Link Container,CLCI,4096.0,4096.0,4096.0,4096.0,0.0,-0.0244
2005-04-06,Capital Link Container,CLCI,4112.0,4112.0,4112.0,4112.0,0.0,0.3906
2005-04-07,Capital Link Container,CLCI,4019.0,4019.0,4019.0,4019.0,0.0,-2.2617
2005-04-08,Capital Link Container,CLCI,3910.0,3910.0,3910.0,3910.0,0.0,-2.7121
2005-04-11,Capital Link Container,CLCI,3895.0,3895.0,3895.0,3895.0,0.0,-0.3836
2005-04-12,Capital Link Container,CLCI,3884.0,3884.0,3884.0,3884.0,0.0,-0.2824
2005-04-13,Capital Link Container,CLCI,3828.0,3828.0,3828.0,3828.0,0.0,-1.4418
2005-04-14,Capital Link Container,CLCI,3764.0,3764.0,3764.0,3764.0,0.0,-1.6719
2005-04-15,Capital Link Container,CLCI,3767.0,3767.0,3767.0,3767.0,0.0,0.0797
2005-04-18,Capital Link Container,CLCI,3836.0,3836.0,3836.0,3836.0,0.0,1.8317
2005-04-19,Capital Link Container,CLCI,3782.0,3782.0,3782.0,3782.0,0.0,-1.4077
2005-04-20,Capital Link Container,CLCI,3956.0,3956.0,3956.0,3956.0,0.0,4.6007
2005-04-21,Capital Link Container,CLCI,3920.0,3920.0,3920.0,3920.0,0.0,-0.91
2005-04-22,Capital Link Container,CLCI,4011.0,4011.0,4011.0,4011.0,0.0,2.3214
2005-04-25,Capital Link Container,CLCI,4008.0,4008.0,4008.0,4008.0,0.0,-0.0748
2005-04-26,Capital Link Container,CLCI,4055.0,4055.0,4055.0,4055.0,0.0,1.1727
2005-04-27,Capital Link Container,CLCI,4007.0,4007.0,4007.0,4007.0,0.0,-1.1837
2005-04-28,Capital Link Container,CLCI,4073.0,4073.0,4073.0,4073.0,0.0,1.6471
2005-04-29,Capital Link Container,CLCI,4082.0,4082.0,4082.0,4082.0,0.0,0.221
2005-05-02,Capital Link Container,CLCI,4050.0,4050.0,4050.0,4050.0,0.0,-0.7839
2005-05-03,Capital Link Container,CLCI,4204.0,4204.0,4204.0,4204.0,0.0,3.8025
2005-05-04,Capital Link Container,CLCI,4218.0,4218.0,4218.0,4218.0,0.0,0.333
2005-05-05,Capital Link Container,CLCI,4246.0,4246.0,4246.0,4246.0,0.0,0.6638
2005-05-06,Capital Link Container,CLCI,4230.0,4230.0,4230.0,4230.0,0.0,-0.3768
2005-05-09,Capital Link Container,CLCI,4124.0,4124.0,4124.0,4124.0,0.0,-2.5059
2005-05-10,Capital Link Container,CLCI,4182.0,4182.0,4182.0,4182.0,0.0,1.4064
2005-05-11,Capital Link Container,CLCI,4138.0,4138.0,4138.0,4138.0,0.0,-1.0521
2005-05-12,Capital Link Container,CLCI,4060.0,4060.0,4060.0,4060.0,0.0,-1.885
2005-05-13,Capital Link Container,CLCI,4184.0,4184.0,4184.0,4184.0,0.0,3.0542
2005-05-16,Capital Link Container,CLCI,4229.0,4229.0,4229.0,4229.0,0.0,1.0755
2005-05-17,Capital Link Container,CLCI,4287.0,4287.0,4287.0,4287.0,0.0,1.3715
2005-05-18,Capital Link Container,CLCI,4562.0,4562.0,4562.0,4562.0,0.0,6.4147
2005-05-19,Capital Link Container,CLCI,4495.0,4495.0,4495.0,4495.0,0.0,-1.4687
2005-05-20,Capital Link Container,CLCI,4503.0,4503.0,4503.0,4503.0,0.0,0.178
2005-05-23,Capital Link Container,CLCI,4505.0,4505.0,4505.0,4505.0,0.0,0.0444
2005-05-24,Capital Link Container,CLCI,4419.0,4419.0,4419.0,4419.0,0.0,-1.909
2005-05-25,Capital Link Container,CLCI,4526.0,4526.0,4526.0,4526.0,0.0,2.4214
2005-05-26,Capital Link Container,CLCI,4481.0,4481.0,4481.0,4481.0,0.0,-0.9943
2005-05-27,Capital Link Container,CLCI,4445.0,4445.0,4445.0,4445.0,0.0,-0.8034
2005-05-31,Capital Link Container,CLCI,4442.0,4442.0,4442.0,4442.0,0.0,-0.0675
2005-06-01,Capital Link Container,CLCI,4410.0,4410.0,4410.0,4410.0,0.0,-0.7204
2005-06-02,Capital Link Container,CLCI,4364.0,4364.0,4364.0,4364.0,0.0,-1.0431
2005-06-03,Capital Link Container,CLCI,4401.0,4401.0,4401.0,4401.0,0.0,0.8478
2005-06-06,Capital Link Container,CLCI,4387.0,4387.0,4387.0,4387.0,0.0,-0.3181
2005-06-07,Capital Link Container,CLCI,4341.0,4341.0,4341.0,4341.0,0.0,-1.0486
2005-06-08,Capital Link Container,CLCI,4382.0,4382.0,4382.0,4382.0,0.0,0.9445
2005-06-09,Capital Link Container,CLCI,4380.0,4380.0,4380.0,4380.0,0.0,-0.0456
2005-06-10,Capital Link Container,CLCI,4436.0,4436.0,4436.0,4436.0,0.0,1.2785
2005-06-13,Capital Link Container,CLCI,4432.0,4432.0,4432.0,4432.0,0.0,-0.0902
2005-06-14,Capital Link Container,CLCI,4455.0,4455.0,4455.0,4455.0,0.0,0.519
2005-06-15,Capital Link Container,CLCI,4525.0,4525.0,4525.0,4525.0,0.0,1.5713
2005-06-16,Capital Link Container,CLCI,4661.0,4661.0,4661.0,4661.0,0.0,3.0055
2005-06-17,Capital Link Container,CLCI,4604.0,4604.0,4604.0,4604.0,0.0,-1.2229
2005-06-20,Capital Link Container,CLCI,4605.0,4605.0,4605.0,4605.0,0.0,0.0217
2005-06-21,Capital Link Container,CLCI,4600.0,4600.0,4600.0,4600.0,0.0,-0.1086
2005-06-22,Capital Link Container,CLCI,4521.0,4521.0,4521.0,4521.0,0.0,-1.7174
2005-06-23,Capital Link Container,CLCI,4518.0,4518.0,4518.0,4518.0,0.0,-0.0664
2005-06-24,Capital Link Container,CLCI,4589.0,4589.0,4589.0,4589.0,0.0,1.5715
2005-06-27,Capital Link Container,CLCI,4625.0,4625.0,4625.0,4625.0,0.0,0.7845
2005-06-28,Capital Link Container,CLCI,4615.0,4615.0,4615.0,4615.0,0.0,-0.2162
2005-06-29,Capital Link Container,CLCI,4635.0,4635.0,4635.0,4635.0,0.0,0.4334
2005-06-30,Capital Link Container,CLCI,4693.0,4693.0,4693.0,4693.0,0.0,1.2513
2005-07-01,Capital Link Container,CLCI,4781.0,4781.0,4781.0,4781.0,0.0,1.8751
2005-07-05,Capital Link Container,CLCI,4790.0,4790.0,4790.0,4790.0,0.0,0.1882
2005-07-06,Capital Link Container,CLCI,4753.0,4753.0,4753.0,4753.0,0.0,-0.7724
2005-07-07,Capital Link Container,CLCI,4797.0,4797.0,4797.0,4797.0,0.0,0.9257
2005-07-08,Capital Link Container,CLCI,4872.0,4872.0,4872.0,4872.0,0.0,1.5635
2005-07-11,Capital Link Container,CLCI,4904.0,4904.0,4904.0,4904.0,0.0,0.6568
2005-07-12,Capital Link Container,CLCI,4902.0,4902.0,4902.0,4902.0,0.0,-0.0408
2005-07-13,Capital Link Container,CLCI,4913.0,4913.0,4913.0,4913.0,0.0,0.2244
2005-07-14,Capital Link Container,CLCI,4869.0,4869.0,4869.0,4869.0,0.0,-0.8956
2005-07-15,Capital Link Container,CLCI,4846.0,4846.0,4846.0,4846.0,0.0,-0.4724
