Date,Index,% Change
2008-10-06,"2,325",
2008-10-07,"2,311",-0.60%
2008-10-08,"2,196",-4.98%
2008-10-09,"2,029",-7.60%
2008-10-10,"1,805",-11.04%
2008-10-13,"1,584",-12.24%
2008-10-14,"1,442",-8.96%
2008-10-15,"1,309",-9.22%
2008-10-16,"1,186",-9.40%
2008-10-17,"1,110",-6.41%
2008-10-20,"1,050",-5.41%
2008-10-21,"1,024",-2.48%
2008-10-22,998,-2.54%
2008-10-23,966,-3.21%
2008-10-24,921,-4.66%
2008-10-27,871,-5.43%
2008-10-28,802,-7.92%
2008-10-29,736,-8.23%
2008-10-30,697,-5.30%
2008-10-31,677,-2.87%
2008-11-03,662,-2.22%
2008-11-04,679,2.57%
2008-11-05,772,13.70%
2008-11-06,831,7.64%
2008-11-07,836,0.60%
2008-11-10,832,-0.48%
2008-11-11,858,3.13%
2008-11-12,897,4.55%
2008-11-13,937,4.46%
2008-11-14,953,1.71%
2008-11-17,999,4.83%
2008-11-18,"1,012",1.30%
2008-11-19,978,-3.36%
2008-11-20,927,-5.21%
2008-11-21,886,-4.42%
2008-11-24,848,-4.29%
2008-11-25,804,-5.19%
2008-11-26,719,-10.57%
2008-11-27,653,-9.18%
2008-11-28,622,-4.75%
2008-12-01,590,-5.14%
2008-12-02,559,-5.25%
2008-12-03,539,-3.58%
2008-12-04,525,-2.60%
2008-12-05,504,-4.00%
2008-12-08,481,-4.56%
2008-12-09,466,-3.12%
2008-12-10,450,-3.43%
2008-12-11,442,-1.78%
2008-12-12,440,-0.45%
2008-12-15,450,2.27%
2008-12-16,480,6.67%
2008-12-17,514,7.08%
2008-12-18,543,5.64%
2008-12-19,575,5.89%
2008-12-22,583,1.39%
2008-12-23,571,-2.06%
2008-12-24,558,-2.28%
2009-01-02,540,-3.23%
2009-01-05,525,-2.78%
2009-01-06,525,0.00%
2009-01-07,533,1.52%
2009-01-08,532,-0.19%
2009-01-09,534,0.38%
2009-01-12,529,-0.94%
2009-01-13,520,-1.70%
2009-01-14,513,-1.35%
2009-01-15,502,-2.14%
2009-01-16,496,-1.20%
2009-01-19,492,-0.81%
2009-01-20,494,0.41%
2009-01-21,504,2.02%
2009-01-22,513,1.79%
2009-01-23,531,3.51%
2009-01-26,562,5.84%
2009-01-27,588,4.63%
2009-01-28,633,7.65%
2009-01-29,719,13.59%
2009-01-30,795,10.57%
2009-02-02,842,5.91%
2009-02-03,881,4.63%
2009-02-04,"1,000",13.51%
2009-02-05,"1,128",12.80%
2009-02-06,"1,251",10.90%
2009-02-09,"1,373",9.75%
2009-02-10,"1,518",10.56%
2009-02-11,"1,517",-0.07%
2009-02-12,"1,484",-2.18%
2009-02-13,"1,399",-5.73%
2009-02-16,"1,335",-4.57%
2009-02-17,"1,305",-2.25%
2009-02-18,"1,352",3.60%
2009-02-19,"1,384",2.37%
2009-02-20,"1,439",3.97%
2009-02-23,"1,466",1.88%
2009-02-24,"1,461",-0.34%
2009-02-25,"1,470",0.62%
2009-02-26,"1,493",1.56%
2009-02-27,"1,542",3.28%
2009-03-02,"1,625",5.38%
2009-03-03,"1,720",5.85%
2009-03-04,"1,901",10.52%
2009-03-05,"2,096",10.26%
2009-03-06,"2,230",6.39%
2009-03-09,"2,316",3.86%
2009-03-10,"2,417",4.36%
2009-03-11,"2,401",-0.66%
2009-03-12,"2,287",-4.75%
2009-03-13,"2,158",-5.64%
2009-03-16,"2,045",-5.24%
2009-03-17,"1,899",-7.14%
2009-03-18,"1,660",-12.59%
2009-03-19,"1,508",-9.16%
2009-03-20,"1,475",-2.19%
2009-03-23,"1,489",0.95%
2009-03-24,"1,526",2.48%
2009-03-25,"1,544",1.18%
2009-03-26,"1,531",-0.84%
2009-03-27,"1,492",-2.55%
2009-03-30,"1,434",-3.89%
2009-03-31,"1,374",-4.18%
2009-04-01,"1,293",-5.90%
2009-04-02,"1,233",-4.64%
2009-04-03,"1,186",-3.81%
2009-04-06,"1,143",-3.63%
2009-04-07,"1,107",-3.15%
2009-04-08,"1,114",0.63%
2009-04-09,"1,144",2.69%
2009-04-14,"1,185",3.58%
2009-04-15,"1,281",8.10%
2009-04-16,"1,413",10.30%
2009-04-17,"1,555",10.05%
2009-04-20,"1,612",3.67%
2009-04-21,"1,666",3.35%
2009-04-22,"1,746",4.80%
2009-04-23,"1,743",-0.17%
2009-04-24,"1,662",-4.65%
2009-04-27,"1,575",-5.23%
2009-04-28,"1,497",-4.95%
2009-04-29,"1,469",-1.87%
2009-04-30,"1,523",3.68%
2009-05-01,"1,556",2.17%
2009-05-05,"1,702",9.38%
2009-05-06,"1,895",11.34%
2009-05-07,"2,084",9.97%
2009-05-08,"2,144",2.88%
2009-05-11,"2,147",0.14%
2009-05-12,"2,158",0.51%
2009-05-13,"2,226",3.15%
