published_date,title,url,summary,source
"Fri, 04 Sep 2026 23:40:46 +0000",ISWG-GHG 22: UCL Sees Large Majority Continuing to Back GHG Pricing and Centralised Fund,https://shipandbunker.com/news/world/752447-iswg-ghg-22-ucl-sees-large-majority-continuing-to-back-ghg-pricing-and-centralised-fund,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_119db27ba193224d3a4cc75d1035b793.v.652.jpg"" width=""161"" height=""107"" alt="""" ></p><p>Japan&#039;s direct-contributions alternative was &quot;robustly rejected&quot;, but the GFI curve looks set to soften to 2030, the readout finds.</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 23:26:00 +0000",ISWG-GHG 22: Working Group Ends With Net-Zero Framework Text Expected at MEPC 85,https://shipandbunker.com/news/world/596439-iswg-ghg-22-working-group-ends-with-net-zero-framework-text-expected-at-mepc-85,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_2f9cf08606893a387740feb6d3ca60ae.v.652.jpg"" width=""161"" height=""107"" alt="""" ></p><p>The chair sees &quot;genuine willingness&quot; to converge, and the resumed adoption session is now pencilled in for December 4.</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 21:53:36 +0000",Dorian LPG Orders Three LPG Dual-Fuel Panamax VLGCs for $345 Million,https://shipandbunker.com/news/world/382247-dorian-lpg-orders-three-lpg-dual-fuel-panamax-vlgcs-for-345-million,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_6552fddaf928c5165c0de914734eb9b3.v.652.jpg"" width=""161"" height=""107"" alt="""" ></p><p>Hull forms and main engines are optimised for larger-diameter propellers and energy-saving devices around them, it said.</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 21:04:52 +0000",Delta Corp's Danish Shipping Arm Placed in Compulsory Dissolution,https://shipandbunker.com/news/world/842752-delta-corps-danish-shipping-arm-placed-in-compulsory-dissolution,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_ac2721794ed3893cdf9836c3b42f557a.v.652.jpg"" width=""161"" height=""107"" alt="""" ></p><p>The strike-off follows last year&#039;s Singapore liquidation.</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 10:20:03 +0000","LR Approves 12,500 m3 LNG Bunkering Vessel Design",https://shipandbunker.com/news/world/726068-lr-approves-12500-m3-lng-bunkering-vessel-design,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_1f9f0f510427edee89657a15d0764a8c.v.652.jpg"" width=""161"" height=""108"" alt="""" ></p><p>The approval in principle was granted to CSSC Huangpu Wenchong Shipbuilding.</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 09:56:00 +0000",Diesel Fears Mount As Oil Heads Towards 6% Weekly Rise,https://shipandbunker.com/news/world/446081-diesel-fears-mount-as-oil-heads-towards-6-weekly-rise,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_d6afe34881134d19842789dd7a5fe7d4.v.652.jpg"" width=""161"" height=""107"" alt="""" ></p><p>Meanwhile, analysts say oil&#039;s rally is &quot;mostly mood and fear driven.&quot;</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 08:35:31 +0000",OceanWings Gets ClassNK Approval for Rigid Fixed and Tiltable Wingsails,https://shipandbunker.com/news/world/584921-oceanwings-gets-classnk-approval-for-rigid-fixed-and-tiltable-wingsails,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_84415408bb523062cc54a9dc3bf560b5.v.652.jpg"" width=""161"" height=""107"" alt="""" ></p><p>OceanWings says its wind propulsion technology can now be scaled to larger wings.</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 07:58:51 +0000",China CSSC Wins Order Worth Over $1 Billion for 10 LNG Dual-Fuel PCTCs,https://shipandbunker.com/news/apac/931621-china-cssc-wins-order-worth-over-1-billion-for-10-lng-dual-fuel-pctcs,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_d8b2bc654d13eb7ffe9c562174c39a3a.v.652.jpg"" width=""161"" height=""107"" alt="""" ></p><p>The vessels are scheduled for delivery between 2029 and 2031.</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 06:37:06 +0000",Omega T Brokers Expands Into Global Bunker Brokerage,https://shipandbunker.com/news/world/973378-omega-t-brokers-expands-into-global-bunker-brokerage,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_b33954cd9b566eb109c1e2f7a8766f7f.v.652.jpg"" width=""161"" height=""108"" alt="""" ></p><p>The company tells Ship &amp; Bunker it has appointed Dennis Papachristodoulou as its strategic partner and bunker broker.</p>",ShipAndBunker_RSS
"Fri, 04 Sep 2026 05:53:29 +0000",EPS Names Three LNG Dual-Fuel Newcastlemax Bulk Carriers,https://shipandbunker.com/news/apac/520884-eps-names-three-lng-dual-fuel-newcastlemax-bulk-carriers,"<p><img src=""https://shipandbunker.cdn.speedyrails.net/a/img/_sm_8a12d7fce8c0b8e1df85c88f7435f3c3.v.652.jpg"" width=""161"" height=""107"" alt="""" ></p><p>The three dual-fuel vessels are part of a 14-vessel Newcastlemax series.</p>",ShipAndBunker_RSS
