vessel_segment,sector,active_vessel_count,active_dwt_million,average_age_years,age_0_to_4_years_dwt_m,age_5_to_9_years_dwt_m,age_10_to_14_years_dwt_m,age_15_to_19_years_dwt_m,age_20_plus_years_dwt_m,orderbook_vessel_count,orderbook_dwt_million,orderbook_to_fleet_pct,deliveries_2026_count,deliveries_2027_count,deliveries_2028_count,deliveries_2029_plus_count,scrubber_fitted_pct,status_unresolved_vessel_count,scrapped_excluded_vessel_count,source
Capesize,Dry Bulk,1703,318.76,12.4,42.64,55.7,86.34,100.9,33.18,206,41.68,13.1,5,83,84,29,43.9,87,543,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
Panamax / Kamsarmax,Dry Bulk,2992,237.85,12.3,49.94,40.76,65.85,36.93,44.37,190,15.4,6.5,14,88,59,28,23.1,104,539,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
Supramax / Ultramax,Dry Bulk,4133,244.23,11.6,52.45,38.37,68.04,60.34,25.03,295,18.73,7.7,11,152,93,37,17.0,164,442,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
Handysize,Dry Bulk,3404,109.14,15.4,8.99,13.29,35.97,30.7,20.18,71,2.5,2.3,2,27,27,5,6.2,151,1676,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
VLCC,Crude Tanker,1070,327.7,15.1,35.17,72.31,55.19,77.67,87.35,251,77.37,23.6,3,59,121,68,48.0,42,184,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
Suezmax,Crude Tanker,783,122.41,13.6,20.57,26.25,19.38,26.18,30.02,170,26.73,21.8,4,50,78,35,35.8,32,160,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
Aframax / LR2,Crude / Product Tanker,1375,151.59,13.7,28.3,27.91,19.05,38.54,37.79,164,18.75,12.4,4,54,53,53,30.9,42,328,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
Panamax / LR1,Product Tanker,491,35.86,16.1,2.58,4.25,4.09,13.36,11.58,46,3.35,9.3,1,25,16,4,13.4,11,93,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
MR2 Product Tanker,Clean Product Tanker,2097,102.73,12.7,18.3,18.15,21.06,26.49,18.74,216,10.78,10.5,10,81,79,46,22.1,49,195,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
LNG Carrier,LNG Gas Carrier,983,82.54,10.2,27.33,20.64,9.91,14.7,9.97,264,22.45,27.2,16,83,88,74,0.2,49,75,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
VLGC (Very Large Gas Carrier),LPG Gas Carrier,495,27.55,10.3,9.41,5.46,5.61,3.42,3.65,158,9.78,35.5,7,62,54,35,21.8,25,36,Signal Ocean Commercial Fleet (orderbook as recorded by Signal Ocean)
