Date,"VLCC TD3C 270,000 NHC AG/CHINA TCE ","VLCC ECO TD3C ECO - 270,000 NHC AG/CHINA TCE","SUEZMAX TD20 130,000 NHC WAFR/UKC TCE","AFRAMAX TD25 70,000 NHC USG/UKC TCE","LR1 TC5 - 55,000 CPP AG/JAPAN TCE","LR1 ECO TC5 - 55,000 CPP AG/JAPAN TCE","MR - TC2 37,000 CPP UKC/USAC TCE ","MR ECO TC2 37,000 CPP UKC/USAC TCE ","MR - TC14 - 38,000 CPP USG/UKC TCE ","MR ECO - TC14 38,000 CPP USG/UKC TCE","MR TC6 38,000 CPP WMED/MED TCE",MR TRIANGULATION TCE CPP TC2+TC14
1-Sep-26,"674,050","607,218",99957,"70,917","101,308","91,702","1,211","1,377","30,031","26,090","23,454","38,110"
1-Oct-26,"641,884","578,223",114375,"79,749","100,935","91,298","3,926","3,809","31,255","27,130","28,388","40,064"
1-Nov-26,"609,078","548,758",112840,"80,585","95,549","86,458","7,878","7,355","31,880","27,656","42,759","42,419"
1-Dec-26,"576,105","519,165",105712,"80,963","90,095","81,565","9,072","8,419","33,458","29,003","50,511","43,936"
1-Jan-27,"471,359","425,372",102401,"65,664","5,718","6,302","10,971","10,122","22,684","19,740","41,179","35,614"
1-Feb-27,"452,374","408,325",90761,"66,042","77,681","70,451","10,115","9,347","22,081","19,217","41,408","34,255"
1-Mar-27,"433,330","391,237",79121,"66,427","75,805","68,761","9,302","8,609","21,495","18,708","41,664","32,867"
1-Apr-27,"353,814","320,056",70007,"51,396","61,556","56,044","7,500","6,982","20,418","17,778","38,225","30,510"
1-May-27,"353,921","320,115",70297,"51,672","61,687","56,149","7,804","7,251","20,642","17,967","38,396","30,613"
1-Jun-27,"354,062","320,204",70549,"51,910","61,821","56,256","8,054","7,473","20,831","18,126","38,541","30,713"
1-Jul-27,"293,842","266,285",58142,"47,437","50,999","46,594","7,219","6,718","18,886","16,452","33,781","28,389"
1-Aug-27,"263,824","239,388",52038,"45,278","45,667","41,826","6,866","6,398","17,966","15,660","31,419","27,260"
1-Sep-27,"233,816","212,499",45933,"43,116","40,340","37,062","6,508","6,073","17,044","14,865","29,055","26,133"
1-Oct-27,"228,495","207,699",54351,"49,861","46,180","42,257","7,873","7,299","18,944","16,495","32,287","28,435"
1-Nov-27,"225,827","205,288",58644,"53,339","49,121","44,872","8,650","7,996","19,966","17,371","33,942","29,619"
1-Dec-27,"223,102","202,836",62927,"56,805","52,027","47,459","9,412","8,679","20,977","18,238","35,590","30,801"
1-Dec-27,"235,072","213,556",74784,"50,850","46,611","42,632","11,444","10,503","21,727","18,878","36,248","32,402"
1-Dec-27,"96,856","89,767",62351,"48,319","32,972","30,430","9,840","9,047","18,593","16,174","36,511","28,032"
1-Dec-27,"81,974","76,178",42065,"41,448","31,961","29,437","8,612","7,925","18,188","15,809","27,471","26,281"
1-Dec-27,"77,393","72,511",45145,"39,405","25,910","24,185","9,128","8,404","18,799","16,350","26,672","27,363"
1-Dec-27,"63,085","59,728",48296,#N/A,"20,277","19,168","8,851","8,147","18,857","16,392","20,850","26,942"
1-Dec-27,"74,084","69,537","49,138",#N/A,"20,158","19,051","9,858","9,053","18,900","16,429","20,954","27,555"
