Date,HANDY,MR,LR1,LR2,AFRA,SUEZ,VLCC
20 Aug 2025,17000,20000,24000,30000,29500,35000,50000
27 Aug 2025,17000,20000,24000,30000,29500,35000,50000
03 Sep 2025,17000,21500,24000,30000,29500,35000,50000
10 Sep 2025,17000,21500,24000,30000,29500,35000,50000
17 Sep 2025,17000,21500,24000,30000,29500,35000,50000
24 Sep 2025,17000,21500,24000,30000,29500,35000,50000
01 Oct 2025,17000,21500,24000,30000,29500,35000,50000
08 Oct 2025,17000,21500,24000,30000,29500,35000,50000
15 Oct 2025,17000,21500,24000,30000,29500,35000,50000
22 Oct 2025,17000,21500,24000,30000,29500,35000,50000
29 Oct 2025,17000,21500,24000,30000,29500,35000,50000
29 Oct 2025,20000,23000,24000,30000,29500,35000,50000
05 Nov 2025,20000,23000,24000,30000,32500,40000,51500
12 Nov 2025,20000,22500,24000,30000,32500,40000,51500
19 Nov 2025,20000,22500,24000,32500,32500,40000,50000
26 Nov 2025,20000,22750,24000,32500,32500,40000,50000
03 Dec 2025,20000,22000,24500,32750,33500,39000,50000
10 Dec 2025,20000,22000,24500,32750,33500,39000,50000
17 Dec 2025,20000,22500,24500,32750,33500,39000,50000
07 Jan 2026,20000,22500,24500,32750,33500,39000,50000
14 Jan 2026,20000,22500,24500,32750,33500,39000,50000
21 Jan 2026,20000,22000,24500,32750,33500,39000,50000
28 Jan 2026,20000,22500,27250,36500,36500,42500,63500
04 Feb 2026,20000,22500,27250,36500,36500,42500,63500
11 Feb 2026,20000,22500,27250,36500,36500,42500,63500
18 Feb 2026,19000,22500,28500,36500,37500,44000,60000
25 Feb 2026,19000,22500,28500,36500,36500,44000,60000
04 Mar 2026,19000,22500,28500,36500,36500,44000,60000
11 Mar 2026,19000,22500,28500,42500,40000,52500,75000
18 Mar 2026,19000,22500,28500,42500,40000,52500,75000
25 Mar 2026,19000,24500,28500,42500,40000,52500,70000
01 Apr 2026,22500,27500,28500,42500,40000,52500,70000
08 Apr 2026,22500,25000,29000,42500,40000,52500,70000
15 Apr 2026,23500,29500,29000,42500,40000,52500,65000
22 Apr 2026,23500,27500,29000,42500,40000,52500,65000
29 Apr 2026,23500,27500,29000,42500,40000,52500,65000
06 May 2026,23500,27500,29000,42500,40000,52500,60000
13 May 2026,23500,27500,29000,42500,40000,52500,60000
20 May 2026,23000,27500,29500,42000,40000,52500,65000
27 May 2026,22500,25000,29500,40000,40000,47500,65000
03 Jun 2026,22500,25000,29500,40000,40000,47500,65000
10 Jun 2026,22500,24500,29500,39000,39000,47500,65000
17 Jun 2026,22500,25000,29500,39000,39000,47500,65000
24 Jun 2026,22500,25000,29500,37500,39000,47500,65000
01 Jul 2026,22500,25000,29500,37500,39000,47500,65000
08 Jul 2026,22500,25000,30500,39500,38500,47500,65000
15 Jul 2026,22500,25000,30500,40000,39000,47500,65000
22 Jul 2026,21500,25000,30500,40000,39000,47500,75000
29 Jul 2026,21500,25000,30500,40000,39000,47500,75000
05 Aug 2026,21500,25000,30500,40000,39000,47500,75000
12 Aug 2026,21500,25000,30500,40000,39000,47500,75000
