yil,ay,t4,exp_usd,imp_usd,date
2026,1,2523,80835899.0,357590.0,2026-01-01
2026,1,7204,21829549.0,636497666.0,2026-01-01
2026,2,2523,85907566.0,960976.0,2026-02-01
2026,2,7204,30576715.0,537279520.0,2026-02-01
2026,3,2523,123700177.0,652555.0,2026-03-01
2026,3,7204,23054845.0,618996492.0,2026-03-01
2026,4,2523,131403232.0,378517.0,2026-04-01
2026,4,7204,34741562.0,725886671.0,2026-04-01
2026,5,2523,122635275.0,546895.0,2026-05-01
2026,5,7204,23477921.0,595267959.0,2026-05-01
2026,6,2523,149253639.0,1433555.0,2026-06-01
2026,6,7204,35506735.0,659368572.0,2026-06-01
2026,7,2523,138662762.0,546897.0,2026-07-01
2026,7,7204,28842851.0,690135681.0,2026-07-01
2025,1,2523,91901744.0,809850.0,2025-01-01
2025,1,7204,24036010.0,559773834.0,2025-01-01
2025,2,2523,83206216.0,4460428.0,2025-02-01
2025,2,7204,21358365.0,580682139.0,2025-02-01
2025,3,2523,114891503.0,661388.0,2025-03-01
2025,3,7204,17798422.0,622484350.0,2025-03-01
2025,4,2523,117476460.0,675508.0,2025-04-01
2025,4,7204,29940554.0,719130698.0,2025-04-01
2025,5,2523,134960719.0,650959.0,2025-05-01
2025,5,7204,23987670.0,628599704.0,2025-05-01
2025,6,2523,113897020.0,949034.0,2025-06-01
2025,6,7204,22885364.0,455765227.0,2025-06-01
2025,7,2523,131504317.0,407395.0,2025-07-01
2025,7,7204,20230817.0,542328989.0,2025-07-01
2025,8,2523,99339683.0,533451.0,2025-08-01
2025,8,7204,24356180.0,506144202.0,2025-08-01
2025,9,2523,112298201.0,478687.0,2025-09-01
2025,9,7204,17965735.0,620207539.0,2025-09-01
2025,10,2523,111297725.0,1703114.0,2025-10-01
2025,10,7204,27770980.0,465658064.0,2025-10-01
2025,11,2523,97217132.0,573657.0,2025-11-01
2025,11,7204,17382827.0,629633823.0,2025-11-01
2025,12,2523,99601271.0,372396.0,2025-12-01
2025,12,7204,30552425.0,626265830.0,2025-12-01
2024,1,2523,84980131.0,580954.0,2024-01-01
2024,1,7204,23343074.0,752044826.0,2024-01-01
2024,2,2523,88625249.0,733642.0,2024-02-01
2024,2,7204,22149399.0,726409503.0,2024-02-01
2024,3,2523,102506652.0,331605.0,2024-03-01
2024,3,7204,25183793.0,820663941.0,2024-03-01
2024,4,2523,94440674.0,705818.0,2024-04-01
2024,4,7204,18578448.0,663552265.0,2024-04-01
2024,5,2523,112191280.0,2122256.0,2024-05-01
2024,5,7204,23966670.0,748704760.0,2024-05-01
2024,6,2523,89663678.0,332108.0,2024-06-01
2024,6,7204,20736794.0,547931373.0,2024-06-01
2024,7,2523,85096882.0,602396.0,2024-07-01
2024,7,7204,29129541.0,660240595.0,2024-07-01
2024,8,2523,85553889.0,546340.0,2024-08-01
2024,8,7204,27003917.0,808218648.0,2024-08-01
2024,9,2523,97333601.0,571190.0,2024-09-01
2024,9,7204,24821452.0,593360673.0,2024-09-01
2024,10,2523,85903499.0,503233.0,2024-10-01
2024,10,7204,15723339.0,591289958.0,2024-10-01
2024,11,2523,84433362.0,474645.0,2024-11-01
2024,11,7204,20638625.0,701929571.0,2024-11-01
2024,12,2523,84322269.0,308991.0,2024-12-01
2024,12,7204,17301811.0,731183904.0,2024-12-01
2023,1,2523,95668356.0,173719.0,2023-01-01
2023,1,7204,33068498.0,508973095.0,2023-01-01
2023,2,2523,88822405.0,140105.0,2023-02-01
2023,2,7204,17567571.0,490471061.0,2023-02-01
2023,3,2523,123457636.0,2075694.0,2023-03-01
2023,3,7204,38261277.0,1000418524.0,2023-03-01
2023,4,2523,101936809.0,250119.0,2023-04-01
2023,4,7204,20443077.0,767104894.0,2023-04-01
2023,5,2523,119270693.0,373300.0,2023-05-01
2023,5,7204,27961769.0,780514417.0,2023-05-01
2023,6,2523,136027464.0,329250.0,2023-06-01
2023,6,7204,18611626.0,516822306.0,2023-06-01
2023,7,2523,99271228.0,2416026.0,2023-07-01
2023,7,7204,20093494.0,750341945.0,2023-07-01
2023,8,2523,109528712.0,1062122.0,2023-08-01
2023,8,7204,27205173.0,591299393.0,2023-08-01
